entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,EmployeeBenefitsExpense,FinanceExpensesArisingFromGroupEnterprises,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToGroupEnterprises,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid,NameAndSurnameOfMemberOfSupervisoryBoard
36433221,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzEwLzU0Lzg3LzUwLzhkMGItNDEwNS1hMGM0LWNiOWI0OGZhMzczMA.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzNiLzE0LzAyL2I0M2YtNDdiMi05NmYzLTlhNzVmMWU4YzUwNg.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzM5LzZmL2RkLzgzZTItNDQxNC04YjAxLTdiMmY0NjY1YTBkMw.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse i ElkÃ¦r-Invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-04-01,2019-05-10,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",60000.0,50000.0,3000000.0,1119907.0,18619407.0,36433221.0,mne5318,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Brian ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2017-01-01,2017-12-31,2656394.0,3386179.0,1059907.0,2018-12-31,2018-01-01,623728.0,true,2019-04-01,Vejle,729785.0,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27476951,indberetninger-20180424,2.5949414,36433221.0,AWtK39JjGQc-fA3G3Gjv,2019-06-12T08:49:22.478Z,2019-06-12T08:48:30.218Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-13-KX,2019-06-12T08:48:30.437Z,,,,,,,,,,,,,,,,,,,,,,,,,,
36433221,2017-01-01,2017-12-31,c8,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzEwLzU0Lzg3LzUwLzhkMGItNDEwNS1hMGM0LWNiOWI0OGZhMzczMA.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzNiLzE0LzAyL2I0M2YtNDdiMi05NmYzLTlhNzVmMWU4YzUwNg.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzM5LzZmL2RkLzgzZTItNDQxNC04YjAxLTdiMmY0NjY1YTBkMw.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse i ElkÃ¦r-Invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-04-01,2019-05-10,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,,18619407.0,36433221.0,mne5318,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Brian ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2017-01-01,2017-12-31,2656394.0,,,2018-12-31,2018-01-01,,true,2019-04-01,Vejle,,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27476951,indberetninger-20180424,2.5949414,36433221.0,AWtK39JjGQc-fA3G3Gjv,2019-06-12T08:49:22.478Z,2019-06-12T08:48:30.218Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-13-KX,2019-06-12T08:48:30.437Z,,,,,,,,,,,,,,,,,,,,,,,,,,
36433221,2017-12-31,2017-12-31,c10,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzEwLzU0Lzg3LzUwLzhkMGItNDEwNS1hMGM0LWNiOWI0OGZhMzczMA.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzNiLzE0LzAyL2I0M2YtNDdiMi05NmYzLTlhNzVmMWU4YzUwNg.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzM5LzZmL2RkLzgzZTItNDQxNC04YjAxLTdiMmY0NjY1YTBkMw.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse i ElkÃ¦r-Invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-04-01,2019-05-10,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,,18619407.0,36433221.0,mne5318,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Brian ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,true,2019-04-01,Vejle,,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27476951,indberetninger-20180424,2.5949414,36433221.0,AWtK39JjGQc-fA3G3Gjv,2019-06-12T08:49:22.478Z,2019-06-12T08:48:30.218Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-13-KX,2019-06-12T08:48:30.437Z,25344806.0,157905.0,600000.0,163147.0,3421084.0,25181659.0,25344806.0,21278472.0,15766838.0,15766838.0,25181659.0,3230149.0,25181659.0,645250.0,645250.0,2821084.0,5511634.0,431341.0,1470037.0,102597.0,5242.0,84535.0,192975.0,5242.0,,
36433221,2018-01-01,2018-01-01,c11,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzEwLzU0Lzg3LzUwLzhkMGItNDEwNS1hMGM0LWNiOWI0OGZhMzczMA.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzNiLzE0LzAyL2I0M2YtNDdiMi05NmYzLTlhNzVmMWU4YzUwNg.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzM5LzZmL2RkLzgzZTItNDQxNC04YjAxLTdiMmY0NjY1YTBkMw.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse i ElkÃ¦r-Invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-04-01,2019-05-10,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,,18619407.0,36433221.0,mne5318,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Brian ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,true,2019-04-01,Vejle,,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27476951,indberetninger-20180424,2.5949414,36433221.0,AWtK39JjGQc-fA3G3Gjv,2019-06-12T08:49:22.478Z,2019-06-12T08:48:30.218Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-13-KX,2019-06-12T08:48:30.437Z,,,,,600000.0,,,,,,,,,,,,,,,,,,,,,
36433221,2018-01-01,2018-01-01,c12,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzEwLzU0Lzg3LzUwLzhkMGItNDEwNS1hMGM0LWNiOWI0OGZhMzczMA.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzNiLzE0LzAyL2I0M2YtNDdiMi05NmYzLTlhNzVmMWU4YzUwNg.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzM5LzZmL2RkLzgzZTItNDQxNC04YjAxLTdiMmY0NjY1YTBkMw.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse i ElkÃ¦r-Invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-04-01,2019-05-10,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,,18619407.0,36433221.0,mne5318,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Brian ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,true,2019-04-01,Vejle,,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27476951,indberetninger-20180424,2.5949414,36433221.0,AWtK39JjGQc-fA3G3Gjv,2019-06-12T08:49:22.478Z,2019-06-12T08:48:30.218Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-13-KX,2019-06-12T08:48:30.437Z,,,,,2821084.0,,,,,,,,,,,,,,,,,,,,,
36433221,2018-01-01,2018-01-01,c13,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzEwLzU0Lzg3LzUwLzhkMGItNDEwNS1hMGM0LWNiOWI0OGZhMzczMA.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzNiLzE0LzAyL2I0M2YtNDdiMi05NmYzLTlhNzVmMWU4YzUwNg.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzM5LzZmL2RkLzgzZTItNDQxNC04YjAxLTdiMmY0NjY1YTBkMw.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse i ElkÃ¦r-Invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-04-01,2019-05-10,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,,18619407.0,36433221.0,mne5318,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Brian ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,true,2019-04-01,Vejle,,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27476951,indberetninger-20180424,2.5949414,36433221.0,AWtK39JjGQc-fA3G3Gjv,2019-06-12T08:49:22.478Z,2019-06-12T08:48:30.218Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-13-KX,2019-06-12T08:48:30.437Z,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
36433221,2018-01-01,2018-01-01,c14,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzEwLzU0Lzg3LzUwLzhkMGItNDEwNS1hMGM0LWNiOWI0OGZhMzczMA.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzNiLzE0LzAyL2I0M2YtNDdiMi05NmYzLTlhNzVmMWU4YzUwNg.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzM5LzZmL2RkLzgzZTItNDQxNC04YjAxLTdiMmY0NjY1YTBkMw.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse i ElkÃ¦r-Invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-04-01,2019-05-10,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,,18619407.0,36433221.0,mne5318,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Brian ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,true,2019-04-01,Vejle,,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27476951,indberetninger-20180424,2.5949414,36433221.0,AWtK39JjGQc-fA3G3Gjv,2019-06-12T08:49:22.478Z,2019-06-12T08:48:30.218Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-13-KX,2019-06-12T08:48:30.437Z,,,,,3421084.0,,,,,,,,,,,,,,,,,,,,,
36433221,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzEwLzU0Lzg3LzUwLzhkMGItNDEwNS1hMGM0LWNiOWI0OGZhMzczMA.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzNiLzE0LzAyL2I0M2YtNDdiMi05NmYzLTlhNzVmMWU4YzUwNg.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzM5LzZmL2RkLzgzZTItNDQxNC04YjAxLTdiMmY0NjY1YTBkMw.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse i ElkÃ¦r-Invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-04-01,2019-05-10,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",65189.0,50000.0,0.0,934387.0,18619407.0,36433221.0,mne5318,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Brian ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2017-01-01,2017-12-31,170809.0,219113.0,869198.0,2018-12-31,2018-01-01,600085.0,true,2019-04-01,Vejle,48304.0,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27476951,indberetninger-20180424,2.5949414,36433221.0,AWtK39JjGQc-fA3G3Gjv,2019-06-12T08:49:22.478Z,2019-06-12T08:48:30.218Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-13-KX,2019-06-12T08:48:30.437Z,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
36433221,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzEwLzU0Lzg3LzUwLzhkMGItNDEwNS1hMGM0LWNiOWI0OGZhMzczMA.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzNiLzE0LzAyL2I0M2YtNDdiMi05NmYzLTlhNzVmMWU4YzUwNg.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzM5LzZmL2RkLzgzZTItNDQxNC04YjAxLTdiMmY0NjY1YTBkMw.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse i ElkÃ¦r-Invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-04-01,2019-05-10,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,,18619407.0,36433221.0,mne5318,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Brian ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,true,2019-04-01,Vejle,,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27476951,indberetninger-20180424,2.5949414,36433221.0,AWtK39JjGQc-fA3G3Gjv,2019-06-12T08:49:22.478Z,2019-06-12T08:48:30.218Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-13-KX,2019-06-12T08:48:30.437Z,,,,,,,,,,,,,,,,,,,,,,,,,,
36433221,2018-01-01,2018-12-31,c15,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzEwLzU0Lzg3LzUwLzhkMGItNDEwNS1hMGM0LWNiOWI0OGZhMzczMA.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzNiLzE0LzAyL2I0M2YtNDdiMi05NmYzLTlhNzVmMWU4YzUwNg.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzNlLzM5LzZmL2RkLzgzZTItNDQxNC04YjAxLTdiMmY0NjY1YTBkMw.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse i ElkÃ¦r-Invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,2019-04-01,2019-05-10,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,,18619407.0,36433221.0,mne5318,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Brian ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2017-01-01,2017-12-31,0.0,,,2018-12-31,2018-01-01,,true,2019-04-01,Vejle,,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27476951,indberetninger-20180424,2.5949414,36433221.0,AWtK39JjGQc-fA3G3Gjv,2019-06-12T08:49:22.478Z,2019-06-12T08:48:30.218Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-13-KX,2019-06-12T08:48:30.437Z,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
