entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,InformationOnAverageNumberOfEmployees,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,ReserveForEntrepreneurialCompany,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,DividendPaid,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
36504609,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2EyL2Y5LzFkLzljMTctNDZiMS05MGMxLWFhNjBhNWJlNWQ2Nw.xhtml,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzA4Lzg1LzIyLzNjYjctNDAxZi1iZDBjLWJhMjAxODI4YTg1Mw.pdf,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzI2L2U2LzRmL2IyMDAtNDRlZi04ODg1LWU4ZWQ2ODMyNzQxMg.xml,true,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Danmark,DK,Bogense,5400.0,49.0,Adelgade,Odense C,5000.0,16.0,Sverigesgade,5800 Nyborg,Kirkegade 1,Til ledelsen i Devdk IVS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-15,2018-02-15,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,9188.0,36504609.0,mne5505,1013389612.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets gennemsnitligt antal ansatte i Ã¥rets lÃ¸b er 0.</p>","Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik K. Andreasen,Thomas KjÃ¦rgaard,Nordfyns Bank,DEVDK IVS,Nyborg ErhvervsRevision ApS,528.0,Odense,2016-01-01,2016-12-31,5452.0,8660.0,9188.0,2017-12-31,2017-01-01,true,false,2018-02-15,Nyborg,3208.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25063388,indberetninger-20180424,2.5925990000000003,36504609.0,,2018-04-03T21:22:17.703Z,2018-02-16T08:13:43.206Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-14-NG,2018-02-16T08:13:43.403Z,,,,,,,,,,,,,,,,,,,
36504609,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2EyL2Y5LzFkLzljMTctNDZiMS05MGMxLWFhNjBhNWJlNWQ2Nw.xhtml,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzA4Lzg1LzIyLzNjYjctNDAxZi1iZDBjLWJhMjAxODI4YTg1Mw.pdf,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzI2L2U2LzRmL2IyMDAtNDRlZi04ODg1LWU4ZWQ2ODMyNzQxMg.xml,true,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Danmark,DK,Bogense,5400.0,49.0,Adelgade,Odense C,5000.0,16.0,Sverigesgade,5800 Nyborg,Kirkegade 1,Til ledelsen i Devdk IVS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-15,2018-02-15,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36504609.0,mne5505,1013389612.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets gennemsnitligt antal ansatte i Ã¥rets lÃ¸b er 0.</p>","Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik K. Andreasen,Thomas KjÃ¦rgaard,Nordfyns Bank,DEVDK IVS,Nyborg ErhvervsRevision ApS,,Odense,2016-01-01,2016-12-31,5452.0,,,2017-12-31,2017-01-01,true,false,2018-02-15,Nyborg,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25063388,indberetninger-20180424,2.5925990000000003,36504609.0,,2018-04-03T21:22:17.703Z,2018-02-16T08:13:43.206Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-14-NG,2018-02-16T08:13:43.403Z,,,,,,,,,,,,,,,,,,,
36504609,2016-01-01,2016-12-31,c8,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2EyL2Y5LzFkLzljMTctNDZiMS05MGMxLWFhNjBhNWJlNWQ2Nw.xhtml,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzA4Lzg1LzIyLzNjYjctNDAxZi1iZDBjLWJhMjAxODI4YTg1Mw.pdf,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzI2L2U2LzRmL2IyMDAtNDRlZi04ODg1LWU4ZWQ2ODMyNzQxMg.xml,true,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Danmark,DK,Bogense,5400.0,49.0,Adelgade,Odense C,5000.0,16.0,Sverigesgade,5800 Nyborg,Kirkegade 1,Til ledelsen i Devdk IVS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-15,2018-02-15,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36504609.0,mne5505,1013389612.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets gennemsnitligt antal ansatte i Ã¥rets lÃ¸b er 0.</p>","Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik K. Andreasen,Thomas KjÃ¦rgaard,Nordfyns Bank,DEVDK IVS,Nyborg ErhvervsRevision ApS,,Odense,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,true,false,2018-02-15,Nyborg,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25063388,indberetninger-20180424,2.5925990000000003,36504609.0,,2018-04-03T21:22:17.703Z,2018-02-16T08:13:43.206Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-14-NG,2018-02-16T08:13:43.403Z,,,,,,,,,,,,,,,,,,,
36504609,2016-12-31,2016-12-31,c10,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2EyL2Y5LzFkLzljMTctNDZiMS05MGMxLWFhNjBhNWJlNWQ2Nw.xhtml,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzA4Lzg1LzIyLzNjYjctNDAxZi1iZDBjLWJhMjAxODI4YTg1Mw.pdf,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzI2L2U2LzRmL2IyMDAtNDRlZi04ODg1LWU4ZWQ2ODMyNzQxMg.xml,true,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Danmark,DK,Bogense,5400.0,49.0,Adelgade,Odense C,5000.0,16.0,Sverigesgade,5800 Nyborg,Kirkegade 1,Til ledelsen i Devdk IVS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-15,2018-02-15,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36504609.0,mne5505,1013389612.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets gennemsnitligt antal ansatte i Ã¥rets lÃ¸b er 0.</p>","Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik K. Andreasen,Thomas KjÃ¦rgaard,Nordfyns Bank,DEVDK IVS,Nyborg ErhvervsRevision ApS,,Odense,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-15,Nyborg,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25063388,indberetninger-20180424,2.5925990000000003,36504609.0,,2018-04-03T21:22:17.703Z,2018-02-16T08:13:43.206Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-14-NG,2018-02-16T08:13:43.403Z,29955.0,29237.0,5000.0,29955.0,26974.0,29955.0,2981.0,0.0,718.0,21974.0,0.0,2981.0,718.0,2981.0,0.0,,,,
36504609,2017-01-01,2017-01-01,c11,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2EyL2Y5LzFkLzljMTctNDZiMS05MGMxLWFhNjBhNWJlNWQ2Nw.xhtml,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzA4Lzg1LzIyLzNjYjctNDAxZi1iZDBjLWJhMjAxODI4YTg1Mw.pdf,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzI2L2U2LzRmL2IyMDAtNDRlZi04ODg1LWU4ZWQ2ODMyNzQxMg.xml,true,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Danmark,DK,Bogense,5400.0,49.0,Adelgade,Odense C,5000.0,16.0,Sverigesgade,5800 Nyborg,Kirkegade 1,Til ledelsen i Devdk IVS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-15,2018-02-15,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36504609.0,mne5505,1013389612.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets gennemsnitligt antal ansatte i Ã¥rets lÃ¸b er 0.</p>","Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik K. Andreasen,Thomas KjÃ¦rgaard,Nordfyns Bank,DEVDK IVS,Nyborg ErhvervsRevision ApS,,Odense,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-15,Nyborg,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25063388,indberetninger-20180424,2.5925990000000003,36504609.0,,2018-04-03T21:22:17.703Z,2018-02-16T08:13:43.206Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-14-NG,2018-02-16T08:13:43.403Z,,,,,5000.0,,,,,,,,,,,,,,
36504609,2017-01-01,2017-01-01,c12,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2EyL2Y5LzFkLzljMTctNDZiMS05MGMxLWFhNjBhNWJlNWQ2Nw.xhtml,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzA4Lzg1LzIyLzNjYjctNDAxZi1iZDBjLWJhMjAxODI4YTg1Mw.pdf,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzI2L2U2LzRmL2IyMDAtNDRlZi04ODg1LWU4ZWQ2ODMyNzQxMg.xml,true,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Danmark,DK,Bogense,5400.0,49.0,Adelgade,Odense C,5000.0,16.0,Sverigesgade,5800 Nyborg,Kirkegade 1,Til ledelsen i Devdk IVS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-15,2018-02-15,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36504609.0,mne5505,1013389612.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets gennemsnitligt antal ansatte i Ã¥rets lÃ¸b er 0.</p>","Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik K. Andreasen,Thomas KjÃ¦rgaard,Nordfyns Bank,DEVDK IVS,Nyborg ErhvervsRevision ApS,,Odense,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-15,Nyborg,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25063388,indberetninger-20180424,2.5925990000000003,36504609.0,,2018-04-03T21:22:17.703Z,2018-02-16T08:13:43.206Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-14-NG,2018-02-16T08:13:43.403Z,,,,,21974.0,,,,,,,,,,,,,,
36504609,2017-01-01,2017-01-01,c13,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2EyL2Y5LzFkLzljMTctNDZiMS05MGMxLWFhNjBhNWJlNWQ2Nw.xhtml,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzA4Lzg1LzIyLzNjYjctNDAxZi1iZDBjLWJhMjAxODI4YTg1Mw.pdf,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzI2L2U2LzRmL2IyMDAtNDRlZi04ODg1LWU4ZWQ2ODMyNzQxMg.xml,true,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Danmark,DK,Bogense,5400.0,49.0,Adelgade,Odense C,5000.0,16.0,Sverigesgade,5800 Nyborg,Kirkegade 1,Til ledelsen i Devdk IVS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-15,2018-02-15,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36504609.0,mne5505,1013389612.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets gennemsnitligt antal ansatte i Ã¥rets lÃ¸b er 0.</p>","Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik K. Andreasen,Thomas KjÃ¦rgaard,Nordfyns Bank,DEVDK IVS,Nyborg ErhvervsRevision ApS,,Odense,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-15,Nyborg,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25063388,indberetninger-20180424,2.5925990000000003,36504609.0,,2018-04-03T21:22:17.703Z,2018-02-16T08:13:43.206Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-14-NG,2018-02-16T08:13:43.403Z,,,,,0.0,,,,,,,,,,,,,,
36504609,2017-01-01,2017-01-01,c14,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2EyL2Y5LzFkLzljMTctNDZiMS05MGMxLWFhNjBhNWJlNWQ2Nw.xhtml,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzA4Lzg1LzIyLzNjYjctNDAxZi1iZDBjLWJhMjAxODI4YTg1Mw.pdf,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzI2L2U2LzRmL2IyMDAtNDRlZi04ODg1LWU4ZWQ2ODMyNzQxMg.xml,true,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Danmark,DK,Bogense,5400.0,49.0,Adelgade,Odense C,5000.0,16.0,Sverigesgade,5800 Nyborg,Kirkegade 1,Til ledelsen i Devdk IVS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-15,2018-02-15,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36504609.0,mne5505,1013389612.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets gennemsnitligt antal ansatte i Ã¥rets lÃ¸b er 0.</p>","Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik K. Andreasen,Thomas KjÃ¦rgaard,Nordfyns Bank,DEVDK IVS,Nyborg ErhvervsRevision ApS,,Odense,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-15,Nyborg,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25063388,indberetninger-20180424,2.5925990000000003,36504609.0,,2018-04-03T21:22:17.703Z,2018-02-16T08:13:43.206Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-14-NG,2018-02-16T08:13:43.403Z,,,,,26974.0,,,,,,,,,,,,,,
36504609,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2EyL2Y5LzFkLzljMTctNDZiMS05MGMxLWFhNjBhNWJlNWQ2Nw.xhtml,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzA4Lzg1LzIyLzNjYjctNDAxZi1iZDBjLWJhMjAxODI4YTg1Mw.pdf,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzI2L2U2LzRmL2IyMDAtNDRlZi04ODg1LWU4ZWQ2ODMyNzQxMg.xml,true,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Danmark,DK,Bogense,5400.0,49.0,Adelgade,Odense C,5000.0,16.0,Sverigesgade,5800 Nyborg,Kirkegade 1,Til ledelsen i Devdk IVS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-15,2018-02-15,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",2496.0,1233.0,36504609.0,mne5505,1013389612.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets gennemsnitligt antal ansatte i Ã¥rets lÃ¸b er 0.</p>","Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik K. Andreasen,Thomas KjÃ¦rgaard,Nordfyns Bank,DEVDK IVS,Nyborg ErhvervsRevision ApS,181.0,Odense,2016-01-01,2016-12-31,-1444.0,-1444.0,-1263.0,2017-12-31,2017-01-01,true,false,2018-02-15,Nyborg,0.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25063388,indberetninger-20180424,2.5925990000000003,36504609.0,,2018-04-03T21:22:17.703Z,2018-02-16T08:13:43.206Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-14-NG,2018-02-16T08:13:43.403Z,,,,,,,,,,,,,,,,0.0,,,
36504609,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2EyL2Y5LzFkLzljMTctNDZiMS05MGMxLWFhNjBhNWJlNWQ2Nw.xhtml,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzA4Lzg1LzIyLzNjYjctNDAxZi1iZDBjLWJhMjAxODI4YTg1Mw.pdf,http://regnskaber.virk.dk/90640563/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzI2L2U2LzRmL2IyMDAtNDRlZi04ODg1LWU4ZWQ2ODMyNzQxMg.xml,true,Danmark,DK,Nyborg,5800.0,1.0,Kirkegade,Danmark,DK,Bogense,5400.0,49.0,Adelgade,Odense C,5000.0,16.0,Sverigesgade,5800 Nyborg,Kirkegade 1,Til ledelsen i Devdk IVS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-15,2018-02-15,Registreret revisor HD,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36504609.0,mne5505,1013389612.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets gennemsnitligt antal ansatte i Ã¥rets lÃ¸b er 0.</p>","Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Henrik K. Andreasen,Thomas KjÃ¦rgaard,Nordfyns Bank,DEVDK IVS,Nyborg ErhvervsRevision ApS,,Odense,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-15,Nyborg,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25063388,indberetninger-20180424,2.5925990000000003,36504609.0,,2018-04-03T21:22:17.703Z,2018-02-16T08:13:43.206Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AB-14-NG,2018-02-16T08:13:43.403Z,,,,,,,,,,,,,,,,,30546792.0,Nyborg ErhvervsRevision ApS,
