entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,NameAndSurnameOfMemberOfExecutiveBoard
36553472,2015-02-14,2015-12-31,c3,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzM1L2NiLzgzLzM2YjQtNDIzZS05ZGEwLTFkNTE2YjJmNWFkMA.xhtml,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzUwLzViLzQxLzZmNjUtNGQ1NC05MjIzLTQ1MWJiYWJmZDBhMQ.pdf,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2M2L2IzL2RjL2UyZDItNGJhZC1hZjAwLTA0YjNiNTJiYzQzZQ.xml,true,Valby,2500.0,"10, 4 tv",ToftegÃ¥rds Plads,2500 Valby,"ToftegÃ¥rds Plads, 10",Regnskabsklasse B,2017-06-07,2017-06-07,29634.0,11526.0,128820.0,36553472.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Schow Jensen,DIN REGNSKABSAFDELING K/S,Peter Schow Jensen,1016.0,Valby,2015-02-14,2015-12-31,86644.0,86644.0,87660.0,2016-12-31,2016-01-01,false,false,"Ja, revision er fravalgt.",false,false,Ingen bistand,urn:ofk:oid:24139777,indberetninger-20180424,2.5949414,36553472.0,,2018-03-29T04:40:49.867Z,2017-06-07T23:12:24.314Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-76-KL,2017-06-07T23:12:24.539Z,,,,,,,,,,,,,,,,,,,,,
36553472,2015-02-14,2015-12-31,c5,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzM1L2NiLzgzLzM2YjQtNDIzZS05ZGEwLTFkNTE2YjJmNWFkMA.xhtml,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzUwLzViLzQxLzZmNjUtNGQ1NC05MjIzLTQ1MWJiYWJmZDBhMQ.pdf,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2M2L2IzL2RjL2UyZDItNGJhZC1hZjAwLTA0YjNiNTJiYzQzZQ.xml,true,Valby,2500.0,"10, 4 tv",ToftegÃ¥rds Plads,2500 Valby,"ToftegÃ¥rds Plads, 10",Regnskabsklasse B,2017-06-07,2017-06-07,,,,36553472.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Schow Jensen,DIN REGNSKABSAFDELING K/S,Peter Schow Jensen,,Valby,2015-02-14,2015-12-31,86644.0,,,2016-12-31,2016-01-01,false,false,"Ja, revision er fravalgt.",false,false,Ingen bistand,urn:ofk:oid:24139777,indberetninger-20180424,2.5949414,36553472.0,,2018-03-29T04:40:49.867Z,2017-06-07T23:12:24.314Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-76-KL,2017-06-07T23:12:24.539Z,,,,,,,,,,,,,,,,,,,,,
36553472,2015-02-14,2015-12-31,c7,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzM1L2NiLzgzLzM2YjQtNDIzZS05ZGEwLTFkNTE2YjJmNWFkMA.xhtml,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzUwLzViLzQxLzZmNjUtNGQ1NC05MjIzLTQ1MWJiYWJmZDBhMQ.pdf,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2M2L2IzL2RjL2UyZDItNGJhZC1hZjAwLTA0YjNiNTJiYzQzZQ.xml,true,Valby,2500.0,"10, 4 tv",ToftegÃ¥rds Plads,2500 Valby,"ToftegÃ¥rds Plads, 10",Regnskabsklasse B,2017-06-07,2017-06-07,,,,36553472.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Schow Jensen,DIN REGNSKABSAFDELING K/S,Peter Schow Jensen,,Valby,2015-02-14,2015-12-31,0.0,,,2016-12-31,2016-01-01,false,false,"Ja, revision er fravalgt.",false,false,Ingen bistand,urn:ofk:oid:24139777,indberetninger-20180424,2.5949414,36553472.0,,2018-03-29T04:40:49.867Z,2017-06-07T23:12:24.314Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-76-KL,2017-06-07T23:12:24.539Z,,,,,,,,,,,,,,,,,,,,,
36553472,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzM1L2NiLzgzLzM2YjQtNDIzZS05ZGEwLTFkNTE2YjJmNWFkMA.xhtml,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzUwLzViLzQxLzZmNjUtNGQ1NC05MjIzLTQ1MWJiYWJmZDBhMQ.pdf,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2M2L2IzL2RjL2UyZDItNGJhZC1hZjAwLTA0YjNiNTJiYzQzZQ.xml,true,Valby,2500.0,"10, 4 tv",ToftegÃ¥rds Plads,2500 Valby,"ToftegÃ¥rds Plads, 10",Regnskabsklasse B,2017-06-07,2017-06-07,,,,36553472.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Schow Jensen,DIN REGNSKABSAFDELING K/S,Peter Schow Jensen,,Valby,2015-02-14,2015-12-31,,,,2016-12-31,2016-01-01,false,false,"Ja, revision er fravalgt.",false,false,Ingen bistand,urn:ofk:oid:24139777,indberetninger-20180424,2.5949414,36553472.0,,2018-03-29T04:40:49.867Z,2017-06-07T23:12:24.314Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-76-KL,2017-06-07T23:12:24.539Z,129070.0,60626.0,0.0,75287.0,18000.0,86644.0,35783.0,129070.0,40967.0,18000.0,53783.0,1491.0,35783.0,86644.0,40967.0,0.0,39476.0,14661.0,14661.0,0.0,
36553472,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzM1L2NiLzgzLzM2YjQtNDIzZS05ZGEwLTFkNTE2YjJmNWFkMA.xhtml,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzUwLzViLzQxLzZmNjUtNGQ1NC05MjIzLTQ1MWJiYWJmZDBhMQ.pdf,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2M2L2IzL2RjL2UyZDItNGJhZC1hZjAwLTA0YjNiNTJiYzQzZQ.xml,true,Valby,2500.0,"10, 4 tv",ToftegÃ¥rds Plads,2500 Valby,"ToftegÃ¥rds Plads, 10",Regnskabsklasse B,2017-06-07,2017-06-07,29634.0,49273.0,306673.0,36553472.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Schow Jensen,DIN REGNSKABSAFDELING K/S,Peter Schow Jensen,78.0,Valby,2015-02-14,2015-12-31,227688.0,227688.0,227766.0,2016-12-31,2016-01-01,false,false,"Ja, revision er fravalgt.",false,false,Ingen bistand,urn:ofk:oid:24139777,indberetninger-20180424,2.5949414,36553472.0,,2018-03-29T04:40:49.867Z,2017-06-07T23:12:24.314Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-76-KL,2017-06-07T23:12:24.539Z,,,,,,,,,,,,,,,,,,,,,
36553472,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzM1L2NiLzgzLzM2YjQtNDIzZS05ZGEwLTFkNTE2YjJmNWFkMA.xhtml,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzUwLzViLzQxLzZmNjUtNGQ1NC05MjIzLTQ1MWJiYWJmZDBhMQ.pdf,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2M2L2IzL2RjL2UyZDItNGJhZC1hZjAwLTA0YjNiNTJiYzQzZQ.xml,true,Valby,2500.0,"10, 4 tv",ToftegÃ¥rds Plads,2500 Valby,"ToftegÃ¥rds Plads, 10",Regnskabsklasse B,2017-06-07,2017-06-07,,,,36553472.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Schow Jensen,DIN REGNSKABSAFDELING K/S,Peter Schow Jensen,,Valby,2015-02-14,2015-12-31,,,,2016-12-31,2016-01-01,false,false,"Ja, revision er fravalgt.",false,false,Ingen bistand,urn:ofk:oid:24139777,indberetninger-20180424,2.5949414,36553472.0,,2018-03-29T04:40:49.867Z,2017-06-07T23:12:24.314Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-76-KL,2017-06-07T23:12:24.539Z,,,,,,,,,,,,,,,,,,,,,Niels Andreasen
36553472,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzM1L2NiLzgzLzM2YjQtNDIzZS05ZGEwLTFkNTE2YjJmNWFkMA.xhtml,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzUwLzViLzQxLzZmNjUtNGQ1NC05MjIzLTQ1MWJiYWJmZDBhMQ.pdf,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2M2L2IzL2RjL2UyZDItNGJhZC1hZjAwLTA0YjNiNTJiYzQzZQ.xml,true,Valby,2500.0,"10, 4 tv",ToftegÃ¥rds Plads,2500 Valby,"ToftegÃ¥rds Plads, 10",Regnskabsklasse B,2017-06-07,2017-06-07,,,,36553472.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Schow Jensen,DIN REGNSKABSAFDELING K/S,Peter Schow Jensen,,Valby,2015-02-14,2015-12-31,,,,2016-12-31,2016-01-01,false,false,"Ja, revision er fravalgt.",false,false,Ingen bistand,urn:ofk:oid:24139777,indberetninger-20180424,2.5949414,36553472.0,,2018-03-29T04:40:49.867Z,2017-06-07T23:12:24.314Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-76-KL,2017-06-07T23:12:24.539Z,,,,,,,,,,,,,,,,,,,,,Peter Schow Jensen
36553472,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzM1L2NiLzgzLzM2YjQtNDIzZS05ZGEwLTFkNTE2YjJmNWFkMA.xhtml,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzUwLzViLzQxLzZmNjUtNGQ1NC05MjIzLTQ1MWJiYWJmZDBhMQ.pdf,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2M2L2IzL2RjL2UyZDItNGJhZC1hZjAwLTA0YjNiNTJiYzQzZQ.xml,true,Valby,2500.0,"10, 4 tv",ToftegÃ¥rds Plads,2500 Valby,"ToftegÃ¥rds Plads, 10",Regnskabsklasse B,2017-06-07,2017-06-07,,,,36553472.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Schow Jensen,DIN REGNSKABSAFDELING K/S,Peter Schow Jensen,,Valby,2015-02-14,2015-12-31,227688.0,,,2016-12-31,2016-01-01,false,false,"Ja, revision er fravalgt.",false,false,Ingen bistand,urn:ofk:oid:24139777,indberetninger-20180424,2.5949414,36553472.0,,2018-03-29T04:40:49.867Z,2017-06-07T23:12:24.314Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-76-KL,2017-06-07T23:12:24.539Z,,,,,,,,,,,,,,,,,,,,,
36553472,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzM1L2NiLzgzLzM2YjQtNDIzZS05ZGEwLTFkNTE2YjJmNWFkMA.xhtml,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzUwLzViLzQxLzZmNjUtNGQ1NC05MjIzLTQ1MWJiYWJmZDBhMQ.pdf,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2M2L2IzL2RjL2UyZDItNGJhZC1hZjAwLTA0YjNiNTJiYzQzZQ.xml,true,Valby,2500.0,"10, 4 tv",ToftegÃ¥rds Plads,2500 Valby,"ToftegÃ¥rds Plads, 10",Regnskabsklasse B,2017-06-07,2017-06-07,,,,36553472.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Schow Jensen,DIN REGNSKABSAFDELING K/S,Peter Schow Jensen,,Valby,2015-02-14,2015-12-31,0.0,,,2016-12-31,2016-01-01,false,false,"Ja, revision er fravalgt.",false,false,Ingen bistand,urn:ofk:oid:24139777,indberetninger-20180424,2.5949414,36553472.0,,2018-03-29T04:40:49.867Z,2017-06-07T23:12:24.314Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-76-KL,2017-06-07T23:12:24.539Z,,,,,,,,,,,,,,,,,,,,,
36553472,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzM1L2NiLzgzLzM2YjQtNDIzZS05ZGEwLTFkNTE2YjJmNWFkMA.xhtml,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzUwLzViLzQxLzZmNjUtNGQ1NC05MjIzLTQ1MWJiYWJmZDBhMQ.pdf,http://regnskaber.virk.dk/27435563/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2M2L2IzL2RjL2UyZDItNGJhZC1hZjAwLTA0YjNiNTJiYzQzZQ.xml,true,Valby,2500.0,"10, 4 tv",ToftegÃ¥rds Plads,2500 Valby,"ToftegÃ¥rds Plads, 10",Regnskabsklasse B,2017-06-07,2017-06-07,,,,36553472.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter Schow Jensen,DIN REGNSKABSAFDELING K/S,Peter Schow Jensen,,Valby,2015-02-14,2015-12-31,,,,2016-12-31,2016-01-01,false,false,"Ja, revision er fravalgt.",false,false,Ingen bistand,urn:ofk:oid:24139777,indberetninger-20180424,2.5949414,36553472.0,,2018-03-29T04:40:49.867Z,2017-06-07T23:12:24.314Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-76-KL,2017-06-07T23:12:24.539Z,333231.0,327071.0,0.0,327081.0,0.0,227688.0,6150.0,333231.0,105543.0,0.0,6150.0,14657.0,6150.0,227688.0,105543.0,23964.0,66922.0,10.0,0.0,10.0,
