entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,EmailOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTradePayables,OpinionOnAuditedFinancialStatements
37085952,2016-09-01,2017-08-31,c109,,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2UxL2ZjLzg2LzViLzA0NDYtNDhhYy04MzgwLWQ4YzJkODkyNDE1YQ.pdf,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzg1LzliL2U5LzgyZjAtNGQ0Mi1hZDgwLTZlNjA3Mzc2MWY4OQ.xml,Danmark,Kolding,6000.0,"27, st.",Birkemose AllÃ©,Aalborg,9000.0,17.0,M.A. Schultz Vej,"6000, Kolding","Birkemose AllÃ©, 27, st.",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. august 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. september 2017 - 31. august 2018.",2018-12-12,2018-12-12,2015-09-05,2018-12-21,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,kolding@brandtrevision.dk,25492145.0,37085952.0,25492145.0,mne34478,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Kaduni Holding ApS.,Ãrsrapport,Malene Mogensen,Katrine Dueholm Nielsen,Katrine Dueholm Nielsen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Kaduni Holding ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aalborg,2016-09-01,2017-08-31,0.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-08-31,2017-09-01,2018-12-12,Kolding,76 34 40 00,RevisionspÃ¥tegning,urn:ofk:oid:26538798,indberetninger-20180424,2.509544,37085952.0,AWgsviMhet7j816DxpeO,2019-01-08T09:15:23.340Z,2019-01-08T09:14:43.974Z,regnskab,0.0,,2018-08-31,2017-09-01,X19-AB-43-SN,2019-01-08T09:14:44.158Z,,,,,,,,,,,,,,,,,,,,
37085952,2016-09-01,2017-08-31,c123,,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2UxL2ZjLzg2LzViLzA0NDYtNDhhYy04MzgwLWQ4YzJkODkyNDE1YQ.pdf,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzg1LzliL2U5LzgyZjAtNGQ0Mi1hZDgwLTZlNjA3Mzc2MWY4OQ.xml,Danmark,Kolding,6000.0,"27, st.",Birkemose AllÃ©,Aalborg,9000.0,17.0,M.A. Schultz Vej,"6000, Kolding","Birkemose AllÃ©, 27, st.",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. august 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. september 2017 - 31. august 2018.",2018-12-12,2018-12-12,2015-09-05,2018-12-21,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,kolding@brandtrevision.dk,25492145.0,37085952.0,25492145.0,mne34478,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Kaduni Holding ApS.,Ãrsrapport,Malene Mogensen,Katrine Dueholm Nielsen,Katrine Dueholm Nielsen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Kaduni Holding ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aalborg,2016-09-01,2017-08-31,48000.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-08-31,2017-09-01,2018-12-12,Kolding,76 34 40 00,RevisionspÃ¥tegning,urn:ofk:oid:26538798,indberetninger-20180424,2.509544,37085952.0,AWgsviMhet7j816DxpeO,2019-01-08T09:15:23.340Z,2019-01-08T09:14:43.974Z,regnskab,0.0,,2018-08-31,2017-09-01,X19-AB-43-SN,2019-01-08T09:14:44.158Z,,,,,,,,,,,,,,,,,,,,
37085952,2016-09-01,2017-08-31,c3,,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2UxL2ZjLzg2LzViLzA0NDYtNDhhYy04MzgwLWQ4YzJkODkyNDE1YQ.pdf,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzg1LzliL2U5LzgyZjAtNGQ0Mi1hZDgwLTZlNjA3Mzc2MWY4OQ.xml,Danmark,Kolding,6000.0,"27, st.",Birkemose AllÃ©,Aalborg,9000.0,17.0,M.A. Schultz Vej,"6000, Kolding","Birkemose AllÃ©, 27, st.",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. august 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. september 2017 - 31. august 2018.",2018-12-12,2018-12-12,2015-09-05,2018-12-21,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,kolding@brandtrevision.dk,25492145.0,37085952.0,25492145.0,mne34478,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Kaduni Holding ApS.,Ãrsrapport,Malene Mogensen,Katrine Dueholm Nielsen,Katrine Dueholm Nielsen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Kaduni Holding ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aalborg,2016-09-01,2017-08-31,48000.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-08-31,2017-09-01,2018-12-12,Kolding,76 34 40 00,RevisionspÃ¥tegning,urn:ofk:oid:26538798,indberetninger-20180424,2.509544,37085952.0,AWgsviMhet7j816DxpeO,2019-01-08T09:15:23.340Z,2019-01-08T09:14:43.974Z,regnskab,0.0,,2018-08-31,2017-09-01,X19-AB-43-SN,2019-01-08T09:14:44.158Z,-2600.0,50600.0,48000.0,-2600.0,,,,,,,,,,,,,,,,
37085952,2017-08-31,2017-08-31,c4,,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2UxL2ZjLzg2LzViLzA0NDYtNDhhYy04MzgwLWQ4YzJkODkyNDE1YQ.pdf,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzg1LzliL2U5LzgyZjAtNGQ0Mi1hZDgwLTZlNjA3Mzc2MWY4OQ.xml,Danmark,Kolding,6000.0,"27, st.",Birkemose AllÃ©,Aalborg,9000.0,17.0,M.A. Schultz Vej,"6000, Kolding","Birkemose AllÃ©, 27, st.",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. august 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. september 2017 - 31. august 2018.",2018-12-12,2018-12-12,2015-09-05,2018-12-21,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,kolding@brandtrevision.dk,25492145.0,37085952.0,25492145.0,mne34478,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Kaduni Holding ApS.,Ãrsrapport,Malene Mogensen,Katrine Dueholm Nielsen,Katrine Dueholm Nielsen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Kaduni Holding ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aalborg,2016-09-01,2017-08-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-08-31,2017-09-01,2018-12-12,Kolding,76 34 40 00,RevisionspÃ¥tegning,urn:ofk:oid:26538798,indberetninger-20180424,2.509544,37085952.0,AWgsviMhet7j816DxpeO,2019-01-08T09:15:23.340Z,2019-01-08T09:14:43.974Z,regnskab,0.0,,2018-08-31,2017-09-01,X19-AB-43-SN,2019-01-08T09:14:44.158Z,,,,,7141973.0,358.0,50000.0,358.0,7134035.0,7141973.0,7938.0,7141615.0,7141615.0,7141615.0,5438.0,0.0,7084035.0,7938.0,2500.0,
37085952,2017-09-01,2018-08-31,c1,,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2UxL2ZjLzg2LzViLzA0NDYtNDhhYy04MzgwLWQ4YzJkODkyNDE1YQ.pdf,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzg1LzliL2U5LzgyZjAtNGQ0Mi1hZDgwLTZlNjA3Mzc2MWY4OQ.xml,Danmark,Kolding,6000.0,"27, st.",Birkemose AllÃ©,Aalborg,9000.0,17.0,M.A. Schultz Vej,"6000, Kolding","Birkemose AllÃ©, 27, st.",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. august 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. september 2017 - 31. august 2018.",2018-12-12,2018-12-12,2015-09-05,2018-12-21,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,kolding@brandtrevision.dk,25492145.0,37085952.0,25492145.0,mne34478,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Kaduni Holding ApS.,Ãrsrapport,Malene Mogensen,Katrine Dueholm Nielsen,Katrine Dueholm Nielsen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Kaduni Holding ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aalborg,2016-09-01,2017-08-31,197904.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-08-31,2017-09-01,2018-12-12,Kolding,76 34 40 00,RevisionspÃ¥tegning,urn:ofk:oid:26538798,indberetninger-20180424,2.509544,37085952.0,AWgsviMhet7j816DxpeO,2019-01-08T09:15:23.340Z,2019-01-08T09:14:43.974Z,regnskab,0.0,,2018-08-31,2017-09-01,X19-AB-43-SN,2019-01-08T09:14:44.158Z,-2596.0,200500.0,197904.0,-2596.0,,,,,,,,,,,,,,,,"Vi har revideret Ã¥rsregnskabet for Kaduni Holding ApS for regnskabsÃ¥ret 1. september 2017 - 31. august 2018, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven."
37085952,2017-09-01,2018-08-31,c108,,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2UxL2ZjLzg2LzViLzA0NDYtNDhhYy04MzgwLWQ4YzJkODkyNDE1YQ.pdf,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzg1LzliL2U5LzgyZjAtNGQ0Mi1hZDgwLTZlNjA3Mzc2MWY4OQ.xml,Danmark,Kolding,6000.0,"27, st.",Birkemose AllÃ©,Aalborg,9000.0,17.0,M.A. Schultz Vej,"6000, Kolding","Birkemose AllÃ©, 27, st.",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. august 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. september 2017 - 31. august 2018.",2018-12-12,2018-12-12,2015-09-05,2018-12-21,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,kolding@brandtrevision.dk,25492145.0,37085952.0,25492145.0,mne34478,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Kaduni Holding ApS.,Ãrsrapport,Malene Mogensen,Katrine Dueholm Nielsen,Katrine Dueholm Nielsen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Kaduni Holding ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aalborg,2016-09-01,2017-08-31,52900.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-08-31,2017-09-01,2018-12-12,Kolding,76 34 40 00,RevisionspÃ¥tegning,urn:ofk:oid:26538798,indberetninger-20180424,2.509544,37085952.0,AWgsviMhet7j816DxpeO,2019-01-08T09:15:23.340Z,2019-01-08T09:14:43.974Z,regnskab,0.0,,2018-08-31,2017-09-01,X19-AB-43-SN,2019-01-08T09:14:44.158Z,,,,,,,,,,,,,,,,,,,,
37085952,2017-09-01,2018-08-31,c122,,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2UxL2ZjLzg2LzViLzA0NDYtNDhhYy04MzgwLWQ4YzJkODkyNDE1YQ.pdf,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzg1LzliL2U5LzgyZjAtNGQ0Mi1hZDgwLTZlNjA3Mzc2MWY4OQ.xml,Danmark,Kolding,6000.0,"27, st.",Birkemose AllÃ©,Aalborg,9000.0,17.0,M.A. Schultz Vej,"6000, Kolding","Birkemose AllÃ©, 27, st.",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. august 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. september 2017 - 31. august 2018.",2018-12-12,2018-12-12,2015-09-05,2018-12-21,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,kolding@brandtrevision.dk,25492145.0,37085952.0,25492145.0,mne34478,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Kaduni Holding ApS.,Ãrsrapport,Malene Mogensen,Katrine Dueholm Nielsen,Katrine Dueholm Nielsen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Kaduni Holding ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aalborg,2016-09-01,2017-08-31,145004.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-08-31,2017-09-01,2018-12-12,Kolding,76 34 40 00,RevisionspÃ¥tegning,urn:ofk:oid:26538798,indberetninger-20180424,2.509544,37085952.0,AWgsviMhet7j816DxpeO,2019-01-08T09:15:23.340Z,2019-01-08T09:14:43.974Z,regnskab,0.0,,2018-08-31,2017-09-01,X19-AB-43-SN,2019-01-08T09:14:44.158Z,,,,,,,,,,,,,,,,,,,,
37085952,2017-09-01,2018-08-31,c71,,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2UxL2ZjLzg2LzViLzA0NDYtNDhhYy04MzgwLWQ4YzJkODkyNDE1YQ.pdf,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzg1LzliL2U5LzgyZjAtNGQ0Mi1hZDgwLTZlNjA3Mzc2MWY4OQ.xml,Danmark,Kolding,6000.0,"27, st.",Birkemose AllÃ©,Aalborg,9000.0,17.0,M.A. Schultz Vej,"6000, Kolding","Birkemose AllÃ©, 27, st.",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. august 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. september 2017 - 31. august 2018.",2018-12-12,2018-12-12,2015-09-05,2018-12-21,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,kolding@brandtrevision.dk,25492145.0,37085952.0,25492145.0,mne34478,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Kaduni Holding ApS.,Ãrsrapport,Malene Mogensen,Katrine Dueholm Nielsen,Katrine Dueholm Nielsen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Kaduni Holding ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aalborg,2016-09-01,2017-08-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-08-31,2017-09-01,2018-12-12,Kolding,76 34 40 00,RevisionspÃ¥tegning,urn:ofk:oid:26538798,indberetninger-20180424,2.509544,37085952.0,AWgsviMhet7j816DxpeO,2019-01-08T09:15:23.340Z,2019-01-08T09:14:43.974Z,regnskab,0.0,,2018-08-31,2017-09-01,X19-AB-43-SN,2019-01-08T09:14:44.158Z,,,,,,,,,,,,,,,,,,,,
37085952,2017-09-01,2018-08-31,c88,,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2UxL2ZjLzg2LzViLzA0NDYtNDhhYy04MzgwLWQ4YzJkODkyNDE1YQ.pdf,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzg1LzliL2U5LzgyZjAtNGQ0Mi1hZDgwLTZlNjA3Mzc2MWY4OQ.xml,Danmark,Kolding,6000.0,"27, st.",Birkemose AllÃ©,Aalborg,9000.0,17.0,M.A. Schultz Vej,"6000, Kolding","Birkemose AllÃ©, 27, st.",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. august 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. september 2017 - 31. august 2018.",2018-12-12,2018-12-12,2015-09-05,2018-12-21,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,kolding@brandtrevision.dk,25492145.0,37085952.0,25492145.0,mne34478,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Kaduni Holding ApS.,Ãrsrapport,Malene Mogensen,Katrine Dueholm Nielsen,Katrine Dueholm Nielsen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Kaduni Holding ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aalborg,2016-09-01,2017-08-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-08-31,2017-09-01,2018-12-12,Kolding,76 34 40 00,RevisionspÃ¥tegning,urn:ofk:oid:26538798,indberetninger-20180424,2.509544,37085952.0,AWgsviMhet7j816DxpeO,2019-01-08T09:15:23.340Z,2019-01-08T09:14:43.974Z,regnskab,0.0,,2018-08-31,2017-09-01,X19-AB-43-SN,2019-01-08T09:14:44.158Z,,,,,,,,,,,,,,,,,,,,
37085952,2018-08-31,2018-08-31,c6,,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2UxL2ZjLzg2LzViLzA0NDYtNDhhYy04MzgwLWQ4YzJkODkyNDE1YQ.pdf,http://regnskaber.virk.dk/25958073/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzg1LzliL2U5LzgyZjAtNGQ0Mi1hZDgwLTZlNjA3Mzc2MWY4OQ.xml,Danmark,Kolding,6000.0,"27, st.",Birkemose AllÃ©,Aalborg,9000.0,17.0,M.A. Schultz Vej,"6000, Kolding","Birkemose AllÃ©, 27, st.",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. august 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. september 2017 - 31. august 2018.",2018-12-12,2018-12-12,2015-09-05,2018-12-21,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,kolding@brandtrevision.dk,25492145.0,37085952.0,25492145.0,mne34478,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Kaduni Holding ApS.,Ãrsrapport,Malene Mogensen,Katrine Dueholm Nielsen,Katrine Dueholm Nielsen,"BRANDT, Statsautoriseret Revisionspartnerselskab",Kaduni Holding ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aalborg,2016-09-01,2017-08-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-08-31,2017-09-01,2018-12-12,Kolding,76 34 40 00,RevisionspÃ¥tegning,urn:ofk:oid:26538798,indberetninger-20180424,2.509544,37085952.0,AWgsviMhet7j816DxpeO,2019-01-08T09:15:23.340Z,2019-01-08T09:14:43.974Z,regnskab,0.0,,2018-08-31,2017-09-01,X19-AB-43-SN,2019-01-08T09:14:44.158Z,,,,,7339877.0,198262.0,50000.0,198262.0,7331939.0,7339877.0,7938.0,7141615.0,7141615.0,7141615.0,5438.0,52900.0,7229039.0,7938.0,2500.0,
