entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmailOfReportingEntity,EmployeeBenefitsExpense,FaxNumberOfReportingEntity,FinanceExpensesArisingFromGroupEnterprises,GrossProfitLoss,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,ImpairmentOfFinancialAssets,IncomeFromInvestmentsInGroupEnterprises,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherInvestmentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,RevaluationReserve,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
65473828,2015-01-01,2015-12-31,ID_11,,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzL2I4L2JiLzg2LzhhLzRkN2YtNDYyZi05NmE4LWZkYTE1OTgyMDIzZQ.pdf,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzliLzUwL2MwLzc2MzUtNDAzOS1iMGNhLTRmNjE3NjcwOTMxMg.xml,false,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Danvikar Holding A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-06-15,2017-06-15,1981-06-10,2017-06-15,88532.0,www.danvikar.dk,0.0,+45 33 14 36 68,94038.0,-75000.0,danvikar.dk,13254192.0,65473828.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Danvikar Holding A/S.,0.0,2198334.0,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Susanne Fagerli-Nielsen,Rolf Bisgaard,Revisionsfirmaet Gutfelt A/S,Danvikar Holding A/S,Revisionsfirmaet Gutfelt A/S,0.0,KÃ¸benhavn,2015-01-01,2015-12-31,1933803.0,1769243.0,-163532.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,171521.0,false,2017-06-15,Kastrup,-164560.0,+45 33 14 30 04,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24269278,indberetninger-20180424,2.5097342,65473828.0,,2018-03-29T16:36:31.672Z,2017-06-21T13:55:26.833Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-70-QA,2017-06-21T13:55:27.013Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65473828,2015-01-01,2015-12-31,ID_13,,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzL2I4L2JiLzg2LzhhLzRkN2YtNDYyZi05NmE4LWZkYTE1OTgyMDIzZQ.pdf,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzliLzUwL2MwLzc2MzUtNDAzOS1iMGNhLTRmNjE3NjcwOTMxMg.xml,false,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Danvikar Holding A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-06-15,2017-06-15,1981-06-10,2017-06-15,,www.danvikar.dk,,+45 33 14 36 68,,,danvikar.dk,13254192.0,65473828.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Danvikar Holding A/S.,,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Susanne Fagerli-Nielsen,Rolf Bisgaard,Revisionsfirmaet Gutfelt A/S,Danvikar Holding A/S,Revisionsfirmaet Gutfelt A/S,,KÃ¸benhavn,2015-01-01,2015-12-31,-45078.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,,false,2017-06-15,Kastrup,,+45 33 14 30 04,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24269278,indberetninger-20180424,2.5097342,65473828.0,,2018-03-29T16:36:31.672Z,2017-06-21T13:55:26.833Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-70-QA,2017-06-21T13:55:27.013Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65473828,2015-01-01,2015-12-31,ID_15,,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzL2I4L2JiLzg2LzhhLzRkN2YtNDYyZi05NmE4LWZkYTE1OTgyMDIzZQ.pdf,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzliLzUwL2MwLzc2MzUtNDAzOS1iMGNhLTRmNjE3NjcwOTMxMg.xml,false,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Danvikar Holding A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-06-15,2017-06-15,1981-06-10,2017-06-15,,www.danvikar.dk,,+45 33 14 36 68,,,danvikar.dk,13254192.0,65473828.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Danvikar Holding A/S.,,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Susanne Fagerli-Nielsen,Rolf Bisgaard,Revisionsfirmaet Gutfelt A/S,Danvikar Holding A/S,Revisionsfirmaet Gutfelt A/S,,KÃ¸benhavn,2015-01-01,2015-12-31,-1787525.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,,false,2017-06-15,Kastrup,,+45 33 14 30 04,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24269278,indberetninger-20180424,2.5097342,65473828.0,,2018-03-29T16:36:31.672Z,2017-06-21T13:55:26.833Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-70-QA,2017-06-21T13:55:27.013Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65473828,2015-01-01,2015-12-31,ID_17,,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzL2I4L2JiLzg2LzhhLzRkN2YtNDYyZi05NmE4LWZkYTE1OTgyMDIzZQ.pdf,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzliLzUwL2MwLzc2MzUtNDAzOS1iMGNhLTRmNjE3NjcwOTMxMg.xml,false,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Danvikar Holding A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-06-15,2017-06-15,1981-06-10,2017-06-15,,www.danvikar.dk,,+45 33 14 36 68,,,danvikar.dk,13254192.0,65473828.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Danvikar Holding A/S.,,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Susanne Fagerli-Nielsen,Rolf Bisgaard,Revisionsfirmaet Gutfelt A/S,Danvikar Holding A/S,Revisionsfirmaet Gutfelt A/S,,KÃ¸benhavn,2015-01-01,2015-12-31,-101200.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,,false,2017-06-15,Kastrup,,+45 33 14 30 04,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24269278,indberetninger-20180424,2.5097342,65473828.0,,2018-03-29T16:36:31.672Z,2017-06-21T13:55:26.833Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-70-QA,2017-06-21T13:55:27.013Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65473828,2015-12-31,2015-12-31,ID_9,,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzL2I4L2JiLzg2LzhhLzRkN2YtNDYyZi05NmE4LWZkYTE1OTgyMDIzZQ.pdf,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzliLzUwL2MwLzc2MzUtNDAzOS1iMGNhLTRmNjE3NjcwOTMxMg.xml,false,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Danvikar Holding A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-06-15,2017-06-15,1981-06-10,2017-06-15,,www.danvikar.dk,,+45 33 14 36 68,,,danvikar.dk,13254192.0,65473828.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Danvikar Holding A/S.,,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Susanne Fagerli-Nielsen,Rolf Bisgaard,Revisionsfirmaet Gutfelt A/S,Danvikar Holding A/S,Revisionsfirmaet Gutfelt A/S,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,,false,2017-06-15,Kastrup,,+45 33 14 30 04,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24269278,indberetninger-20180424,2.5097342,65473828.0,,2018-03-29T16:36:31.672Z,2017-06-21T13:55:26.833Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-70-QA,2017-06-21T13:55:27.013Z,6442812.0,75.0,500000.0,168530.0,5895973.0,329758.0,5191468.0,6442812.0,-393254.0,614541.0,614541.0,1646051.0,1646051.0,6274282.0,138515.0,0.0,148701.0,168455.0,5659741.0,101200.0,940093.0,940093.0,614541.0,1650819.0,3029413.0,0.0,-2039305.0,76204.0,-2264210.0,168455.0,,,
65473828,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzL2I4L2JiLzg2LzhhLzRkN2YtNDYyZi05NmE4LWZkYTE1OTgyMDIzZQ.pdf,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzliLzUwL2MwLzc2MzUtNDAzOS1iMGNhLTRmNjE3NjcwOTMxMg.xml,false,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Danvikar Holding A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-06-15,2017-06-15,1981-06-10,2017-06-15,88532.0,www.danvikar.dk,1006815.0,+45 33 14 36 68,655.0,-255935.0,danvikar.dk,13254192.0,65473828.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Danvikar Holding A/S.,111939.0,-297881.0,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Susanne Fagerli-Nielsen,Rolf Bisgaard,Revisionsfirmaet Gutfelt A/S,Danvikar Holding A/S,Revisionsfirmaet Gutfelt A/S,25420.0,KÃ¸benhavn,2015-01-01,2015-12-31,-1450448.0,-1821484.0,-1351282.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,85147.0,false,2017-06-15,Kastrup,-371036.0,+45 33 14 30 04,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24269278,indberetninger-20180424,2.5097342,65473828.0,,2018-03-29T16:36:31.672Z,2017-06-21T13:55:26.833Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-70-QA,2017-06-21T13:55:27.013Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65473828,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzL2I4L2JiLzg2LzhhLzRkN2YtNDYyZi05NmE4LWZkYTE1OTgyMDIzZQ.pdf,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzliLzUwL2MwLzc2MzUtNDAzOS1iMGNhLTRmNjE3NjcwOTMxMg.xml,false,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Danvikar Holding A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-06-15,2017-06-15,1981-06-10,2017-06-15,,www.danvikar.dk,,+45 33 14 36 68,,,danvikar.dk,13254192.0,65473828.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Danvikar Holding A/S.,,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Susanne Fagerli-Nielsen,Rolf Bisgaard,Revisionsfirmaet Gutfelt A/S,Danvikar Holding A/S,Revisionsfirmaet Gutfelt A/S,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,,false,2017-06-15,Kastrup,,+45 33 14 30 04,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24269278,indberetninger-20180424,2.5097342,65473828.0,,2018-03-29T16:36:31.672Z,2017-06-21T13:55:26.833Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-70-QA,2017-06-21T13:55:27.013Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65473828,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzL2I4L2JiLzg2LzhhLzRkN2YtNDYyZi05NmE4LWZkYTE1OTgyMDIzZQ.pdf,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzliLzUwL2MwLzc2MzUtNDAzOS1iMGNhLTRmNjE3NjcwOTMxMg.xml,false,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Danvikar Holding A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-06-15,2017-06-15,1981-06-10,2017-06-15,,www.danvikar.dk,,+45 33 14 36 68,,,danvikar.dk,13254192.0,65473828.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Danvikar Holding A/S.,,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Susanne Fagerli-Nielsen,Rolf Bisgaard,Revisionsfirmaet Gutfelt A/S,Danvikar Holding A/S,Revisionsfirmaet Gutfelt A/S,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,,false,2017-06-15,Kastrup,,+45 33 14 30 04,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24269278,indberetninger-20180424,2.5097342,65473828.0,,2018-03-29T16:36:31.672Z,2017-06-21T13:55:26.833Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-70-QA,2017-06-21T13:55:27.013Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65473828,2016-01-01,2016-12-31,ID_12,,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzL2I4L2JiLzg2LzhhLzRkN2YtNDYyZi05NmE4LWZkYTE1OTgyMDIzZQ.pdf,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzliLzUwL2MwLzc2MzUtNDAzOS1iMGNhLTRmNjE3NjcwOTMxMg.xml,false,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Danvikar Holding A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-06-15,2017-06-15,1981-06-10,2017-06-15,,www.danvikar.dk,,+45 33 14 36 68,,,danvikar.dk,13254192.0,65473828.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Danvikar Holding A/S.,,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Susanne Fagerli-Nielsen,Rolf Bisgaard,Revisionsfirmaet Gutfelt A/S,Danvikar Holding A/S,Revisionsfirmaet Gutfelt A/S,,KÃ¸benhavn,2015-01-01,2015-12-31,0.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,,false,2017-06-15,Kastrup,,+45 33 14 30 04,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24269278,indberetninger-20180424,2.5097342,65473828.0,,2018-03-29T16:36:31.672Z,2017-06-21T13:55:26.833Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-70-QA,2017-06-21T13:55:27.013Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65473828,2016-01-01,2016-12-31,ID_14,,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzL2I4L2JiLzg2LzhhLzRkN2YtNDYyZi05NmE4LWZkYTE1OTgyMDIzZQ.pdf,http://regnskaber.virk.dk/82837456/ZG9rdW1lbnRsYWdlcjovLzAzLzYzLzliLzUwL2MwLzc2MzUtNDAzOS1iMGNhLTRmNjE3NjcwOTMxMg.xml,false,"2770, Kastrup",TÃ¸mmerupvej 75,Til kapitalejerne i Danvikar Holding A/S,3.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-06-15,2017-06-15,1981-06-10,2017-06-15,,www.danvikar.dk,,+45 33 14 36 68,,,danvikar.dk,13254192.0,65473828.0,13254192.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Danvikar Holding A/S.,,,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Susanne Fagerli-Nielsen,Rolf Bisgaard,Revisionsfirmaet Gutfelt A/S,Danvikar Holding A/S,Revisionsfirmaet Gutfelt A/S,,KÃ¸benhavn,2015-01-01,2015-12-31,1450448.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,,false,2017-06-15,Kastrup,,+45 33 14 30 04,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24269278,indberetninger-20180424,2.5097342,65473828.0,,2018-03-29T16:36:31.672Z,2017-06-21T13:55:26.833Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-70-QA,2017-06-21T13:55:27.013Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
