entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,AmortisationOfIntangibleAssets,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DividendPaid,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance,DepreciationOfPropertyPlantAndEquipment,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
65837811,2015-10-01,2016-09-30,c174,,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Y3LzQ1LzQwLzc1ZTAtNDQ3OC04NTI4LTRmM2EyMmVlYTM3ZQ.pdf,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzU3L2ZkL2FkLzlhYTUtNGIwMC04NDhkLTlhYjAzN2E2NGU3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,Birk Centerpark 32,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Special-pÃ¦dagogisk forlag A/S,36593.0,70000.0,9.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",687610.0,2018-01-17,1981-07-03,2018-01-17,60826.0,Statsautoriseret revisor,-2000000.0,4338481.0,7634408.0,20222670.0,65837811.0,20222670.0,mne10056,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Special-pÃ¦dagogisk forlag A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Torben Thuesen,Torben Nylev Thuesen,Handelsbanken,Special-pÃ¦dagogisk forlag A/S,BDO Statsautoriseret revisionsaktieselskab,99016.0,21.0,25925.0,Herning,2015-10-01,2016-09-30,2536802.0,3261005.0,3235101.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2018-01-17,Herning,73436.0,724203.0,4166029.0,urn:ofk:oid:24981932,indberetninger-20180424,2.511672,65837811.0,,2018-04-03T16:40:34.380Z,2018-01-25T08:03:43.369Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-95-BX,2018-01-25T08:03:43.527Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65837811,2015-10-01,2016-09-30,c177,,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Y3LzQ1LzQwLzc1ZTAtNDQ3OC04NTI4LTRmM2EyMmVlYTM3ZQ.pdf,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzU3L2ZkL2FkLzlhYTUtNGIwMC04NDhkLTlhYjAzN2E2NGU3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,Birk Centerpark 32,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Special-pÃ¦dagogisk forlag A/S,,70000.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2018-01-17,1981-07-03,2018-01-17,,Statsautoriseret revisor,-2000000.0,,,20222670.0,65837811.0,20222670.0,mne10056,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Special-pÃ¦dagogisk forlag A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Torben Thuesen,Torben Nylev Thuesen,Handelsbanken,Special-pÃ¦dagogisk forlag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Herning,2015-10-01,2016-09-30,2000000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2018-01-17,Herning,,,,urn:ofk:oid:24981932,indberetninger-20180424,2.511672,65837811.0,,2018-04-03T16:40:34.380Z,2018-01-25T08:03:43.369Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-95-BX,2018-01-25T08:03:43.527Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65837811,2015-10-01,2016-09-30,c195,,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Y3LzQ1LzQwLzc1ZTAtNDQ3OC04NTI4LTRmM2EyMmVlYTM3ZQ.pdf,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzU3L2ZkL2FkLzlhYTUtNGIwMC04NDhkLTlhYjAzN2E2NGU3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,Birk Centerpark 32,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Special-pÃ¦dagogisk forlag A/S,,70000.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2018-01-17,1981-07-03,2018-01-17,,Statsautoriseret revisor,-2000000.0,,,20222670.0,65837811.0,20222670.0,mne10056,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Special-pÃ¦dagogisk forlag A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Torben Thuesen,Torben Nylev Thuesen,Handelsbanken,Special-pÃ¦dagogisk forlag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Herning,2015-10-01,2016-09-30,536802.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2018-01-17,Herning,,,,urn:ofk:oid:24981932,indberetninger-20180424,2.511672,65837811.0,,2018-04-03T16:40:34.380Z,2018-01-25T08:03:43.369Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-95-BX,2018-01-25T08:03:43.527Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65837811,2016-09-30,2016-09-30,c172,,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Y3LzQ1LzQwLzc1ZTAtNDQ3OC04NTI4LTRmM2EyMmVlYTM3ZQ.pdf,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzU3L2ZkL2FkLzlhYTUtNGIwMC04NDhkLTlhYjAzN2E2NGU3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,Birk Centerpark 32,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Special-pÃ¦dagogisk forlag A/S,,70000.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2018-01-17,1981-07-03,2018-01-17,,Statsautoriseret revisor,-2000000.0,,,20222670.0,65837811.0,20222670.0,mne10056,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Special-pÃ¦dagogisk forlag A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Torben Thuesen,Torben Nylev Thuesen,Handelsbanken,Special-pÃ¦dagogisk forlag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Herning,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2018-01-17,Herning,,,,urn:ofk:oid:24981932,indberetninger-20180424,2.511672,65837811.0,,2018-04-03T16:40:34.380Z,2018-01-25T08:03:43.369Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-95-BX,2018-01-25T08:03:43.527Z,10682393.0,5161780.0,500000.0,0.0,6289818.0,45071.0,70000.0,70000.0,3402839.0,10682393.0,4389653.0,3402839.0,694758.0,3335016.0,579687.0,624758.0,2000000.0,2922.0,2922.0,3789818.0,4389653.0,1423016.0,687610.0,367027.0,1423016.0,,,,,,,,,
65837811,2016-10-01,2016-10-01,c226,,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Y3LzQ1LzQwLzc1ZTAtNDQ3OC04NTI4LTRmM2EyMmVlYTM3ZQ.pdf,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzU3L2ZkL2FkLzlhYTUtNGIwMC04NDhkLTlhYjAzN2E2NGU3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,Birk Centerpark 32,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Special-pÃ¦dagogisk forlag A/S,,70000.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2018-01-17,1981-07-03,2018-01-17,,Statsautoriseret revisor,-2000000.0,,,20222670.0,65837811.0,20222670.0,mne10056,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Special-pÃ¦dagogisk forlag A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Torben Thuesen,Torben Nylev Thuesen,Handelsbanken,Special-pÃ¦dagogisk forlag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Herning,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2018-01-17,Herning,,,,urn:ofk:oid:24981932,indberetninger-20180424,2.511672,65837811.0,,2018-04-03T16:40:34.380Z,2018-01-25T08:03:43.369Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-95-BX,2018-01-25T08:03:43.527Z,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65837811,2016-10-01,2016-10-01,c253,,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Y3LzQ1LzQwLzc1ZTAtNDQ3OC04NTI4LTRmM2EyMmVlYTM3ZQ.pdf,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzU3L2ZkL2FkLzlhYTUtNGIwMC04NDhkLTlhYjAzN2E2NGU3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,Birk Centerpark 32,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Special-pÃ¦dagogisk forlag A/S,,70000.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2018-01-17,1981-07-03,2018-01-17,,Statsautoriseret revisor,-2000000.0,,,20222670.0,65837811.0,20222670.0,mne10056,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Special-pÃ¦dagogisk forlag A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Torben Thuesen,Torben Nylev Thuesen,Handelsbanken,Special-pÃ¦dagogisk forlag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Herning,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2018-01-17,Herning,,,,urn:ofk:oid:24981932,indberetninger-20180424,2.511672,65837811.0,,2018-04-03T16:40:34.380Z,2018-01-25T08:03:43.369Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-95-BX,2018-01-25T08:03:43.527Z,,,,,3789818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65837811,2016-10-01,2016-10-01,c257,,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Y3LzQ1LzQwLzc1ZTAtNDQ3OC04NTI4LTRmM2EyMmVlYTM3ZQ.pdf,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzU3L2ZkL2FkLzlhYTUtNGIwMC04NDhkLTlhYjAzN2E2NGU3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,Birk Centerpark 32,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Special-pÃ¦dagogisk forlag A/S,,70000.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2018-01-17,1981-07-03,2018-01-17,,Statsautoriseret revisor,-2000000.0,,,20222670.0,65837811.0,20222670.0,mne10056,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Special-pÃ¦dagogisk forlag A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Torben Thuesen,Torben Nylev Thuesen,Handelsbanken,Special-pÃ¦dagogisk forlag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Herning,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2018-01-17,Herning,,,,urn:ofk:oid:24981932,indberetninger-20180424,2.511672,65837811.0,,2018-04-03T16:40:34.380Z,2018-01-25T08:03:43.369Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-95-BX,2018-01-25T08:03:43.527Z,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65837811,2016-10-01,2016-10-01,c357,,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Y3LzQ1LzQwLzc1ZTAtNDQ3OC04NTI4LTRmM2EyMmVlYTM3ZQ.pdf,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzU3L2ZkL2FkLzlhYTUtNGIwMC04NDhkLTlhYjAzN2E2NGU3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,Birk Centerpark 32,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Special-pÃ¦dagogisk forlag A/S,,70000.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2018-01-17,1981-07-03,2018-01-17,,Statsautoriseret revisor,-2000000.0,,,20222670.0,65837811.0,20222670.0,mne10056,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Special-pÃ¦dagogisk forlag A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Torben Thuesen,Torben Nylev Thuesen,Handelsbanken,Special-pÃ¦dagogisk forlag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Herning,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2018-01-17,Herning,,,,urn:ofk:oid:24981932,indberetninger-20180424,2.511672,65837811.0,,2018-04-03T16:40:34.380Z,2018-01-25T08:03:43.369Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-95-BX,2018-01-25T08:03:43.527Z,,,,,,,,,,,,,,,,,,,,,,,,,,280000.0,350000.0,,,,,,,
65837811,2016-10-01,2016-10-01,c453,,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Y3LzQ1LzQwLzc1ZTAtNDQ3OC04NTI4LTRmM2EyMmVlYTM3ZQ.pdf,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzU3L2ZkL2FkLzlhYTUtNGIwMC04NDhkLTlhYjAzN2E2NGU3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,Birk Centerpark 32,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Special-pÃ¦dagogisk forlag A/S,,70000.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2018-01-17,1981-07-03,2018-01-17,,Statsautoriseret revisor,-2000000.0,,,20222670.0,65837811.0,20222670.0,mne10056,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Special-pÃ¦dagogisk forlag A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Torben Thuesen,Torben Nylev Thuesen,Handelsbanken,Special-pÃ¦dagogisk forlag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Herning,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2018-01-17,Herning,,,,urn:ofk:oid:24981932,indberetninger-20180424,2.511672,65837811.0,,2018-04-03T16:40:34.380Z,2018-01-25T08:03:43.369Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-95-BX,2018-01-25T08:03:43.527Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,76563.0,656250.0,,,,,
65837811,2016-10-01,2016-10-01,c456,,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Y3LzQ1LzQwLzc1ZTAtNDQ3OC04NTI4LTRmM2EyMmVlYTM3ZQ.pdf,http://regnskaber.virk.dk/11873856/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzU3L2ZkL2FkLzlhYTUtNGIwMC04NDhkLTlhYjAzN2E2NGU3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,Birk Centerpark 32,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Special-pÃ¦dagogisk forlag A/S,,70000.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",,2018-01-17,1981-07-03,2018-01-17,,Statsautoriseret revisor,-2000000.0,,,20222670.0,65837811.0,20222670.0,mne10056,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Special-pÃ¦dagogisk forlag A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Torben Thuesen,Torben Nylev Thuesen,Handelsbanken,Special-pÃ¦dagogisk forlag A/S,BDO Statsautoriseret revisionsaktieselskab,,,,Herning,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2018-01-17,Herning,,,,urn:ofk:oid:24981932,indberetninger-20180424,2.511672,65837811.0,,2018-04-03T16:40:34.380Z,2018-01-25T08:03:43.369Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AB-95-BX,2018-01-25T08:03:43.527Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,899423.0,944494.0,,,,,
