entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmailOfReportingEntity,EmployeeBenefitsExpense,ExtraordinaryProfitLossBeforeTax,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameOfAuditFirm
70322315,2012-06-01,2013-05-31,c3,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8vcGRmcy83MDMyMjMxNTtBcFM1NDU1MzsyMDEzMDYwMTsyMDE0MDUzMTtSO1I.pdf,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8veGJybHMvWC1EQjM2RDUxOS0yMDE0MTExNF8wODU3MDRfNDMz.xml,Danmark,DK,Kgs. Lyngby,2800.0,54A,Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Lyngby,"Lyngby Hovedgade 54A, 1. sal.",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2014-11-06,2014-10-31,48685.0,Statsautoriseret revisor,sg@cgs-dk.com,307308.0,-735067.0,-267302.0,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,258132.0,146360.0,Lyngby,2012-06-01,2013-05-31,-735067.0,-735067.0,-623295.0,2014-05-31,2013-06-01,2014-11-06,Kgs. Lyngby,0.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15207132,indberetninger-20180424,2.5124211,70322315.0,,2018-03-31T21:54:17.708Z,2014-11-14T23:00:00.000Z,regnskab,0.0,,2014-05-31,2013-06-01,14-249.154,2014-11-14T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2012-06-01,2013-05-31,c5,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8vcGRmcy83MDMyMjMxNTtBcFM1NDU1MzsyMDEzMDYwMTsyMDE0MDUzMTtSO1I.pdf,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8veGJybHMvWC1EQjM2RDUxOS0yMDE0MTExNF8wODU3MDRfNDMz.xml,Danmark,DK,Kgs. Lyngby,2800.0,54A,Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Lyngby,"Lyngby Hovedgade 54A, 1. sal.",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2014-11-06,2014-10-31,,Statsautoriseret revisor,sg@cgs-dk.com,,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2012-06-01,2013-05-31,128800.0,,,2014-05-31,2013-06-01,2014-11-06,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15207132,indberetninger-20180424,2.5124211,70322315.0,,2018-03-31T21:54:17.708Z,2014-11-14T23:00:00.000Z,regnskab,0.0,,2014-05-31,2013-06-01,14-249.154,2014-11-14T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2012-06-01,2013-05-31,c7,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8vcGRmcy83MDMyMjMxNTtBcFM1NDU1MzsyMDEzMDYwMTsyMDE0MDUzMTtSO1I.pdf,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8veGJybHMvWC1EQjM2RDUxOS0yMDE0MTExNF8wODU3MDRfNDMz.xml,Danmark,DK,Kgs. Lyngby,2800.0,54A,Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Lyngby,"Lyngby Hovedgade 54A, 1. sal.",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2014-11-06,2014-10-31,,Statsautoriseret revisor,sg@cgs-dk.com,,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2012-06-01,2013-05-31,-863867.0,,,2014-05-31,2013-06-01,2014-11-06,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15207132,indberetninger-20180424,2.5124211,70322315.0,,2018-03-31T21:54:17.708Z,2014-11-14T23:00:00.000Z,regnskab,0.0,,2014-05-31,2013-06-01,14-249.154,2014-11-14T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2013-05-31,2013-05-31,c9,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8vcGRmcy83MDMyMjMxNTtBcFM1NDU1MzsyMDEzMDYwMTsyMDE0MDUzMTtSO1I.pdf,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8veGJybHMvWC1EQjM2RDUxOS0yMDE0MTExNF8wODU3MDRfNDMz.xml,Danmark,DK,Kgs. Lyngby,2800.0,54A,Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Lyngby,"Lyngby Hovedgade 54A, 1. sal.",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2014-11-06,2014-10-31,,Statsautoriseret revisor,sg@cgs-dk.com,,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2012-06-01,2013-05-31,,,,2014-05-31,2013-06-01,2014-11-06,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15207132,indberetninger-20180424,2.5124211,70322315.0,,2018-03-31T21:54:17.708Z,2014-11-14T23:00:00.000Z,regnskab,0.0,,2014-05-31,2013-06-01,14-249.154,2014-11-14T23:00:00.000Z,7230363.0,1219236.0,200000.0,4590690.0,14826.0,7197881.0,32480.0,0.0,713229.0,7230363.0,32482.0,1893964.0,0.0,0.0,2639673.0,1893964.0,3313100.0,26214.0,43528.0,745709.0,128800.0,6869081.0,3313100.0,32482.0,58354.0,0.0,6268.0,0.0,
70322315,2013-06-01,2014-05-31,c0,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8vcGRmcy83MDMyMjMxNTtBcFM1NDU1MzsyMDEzMDYwMTsyMDE0MDUzMTtSO1I.pdf,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8veGJybHMvWC1EQjM2RDUxOS0yMDE0MTExNF8wODU3MDRfNDMz.xml,Danmark,DK,Kgs. Lyngby,2800.0,54A,Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Lyngby,"Lyngby Hovedgade 54A, 1. sal.",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2014-11-06,2014-10-31,48685.0,Statsautoriseret revisor,sg@cgs-dk.com,253447.0,-460064.0,-264316.0,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,0.0,106384.0,Lyngby,2012-06-01,2013-05-31,-460064.0,-460064.0,-566448.0,2014-05-31,2013-06-01,2014-11-06,Kgs. Lyngby,0.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15207132,indberetninger-20180424,2.5124211,70322315.0,,2018-03-31T21:54:17.708Z,2014-11-14T23:00:00.000Z,regnskab,0.0,,2014-05-31,2013-06-01,14-249.154,2014-11-14T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2013-06-01,2014-05-31,c1,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8vcGRmcy83MDMyMjMxNTtBcFM1NDU1MzsyMDEzMDYwMTsyMDE0MDUzMTtSO1I.pdf,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8veGJybHMvWC1EQjM2RDUxOS0yMDE0MTExNF8wODU3MDRfNDMz.xml,Danmark,DK,Kgs. Lyngby,2800.0,54A,Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Lyngby,"Lyngby Hovedgade 54A, 1. sal.",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2014-11-06,2014-10-31,,Statsautoriseret revisor,sg@cgs-dk.com,,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2012-06-01,2013-05-31,,,,2014-05-31,2013-06-01,2014-11-06,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15207132,indberetninger-20180424,2.5124211,70322315.0,,2018-03-31T21:54:17.708Z,2014-11-14T23:00:00.000Z,regnskab,0.0,,2014-05-31,2013-06-01,14-249.154,2014-11-14T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MBA STATSAUTORISERET              REVISIONSANPARTSSELSKAB
70322315,2013-06-01,2014-05-31,c2,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8vcGRmcy83MDMyMjMxNTtBcFM1NDU1MzsyMDEzMDYwMTsyMDE0MDUzMTtSO1I.pdf,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8veGJybHMvWC1EQjM2RDUxOS0yMDE0MTExNF8wODU3MDRfNDMz.xml,Danmark,DK,Kgs. Lyngby,2800.0,54A,Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Lyngby,"Lyngby Hovedgade 54A, 1. sal.",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2014-11-06,2014-10-31,,Statsautoriseret revisor,sg@cgs-dk.com,,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2012-06-01,2013-05-31,,,,2014-05-31,2013-06-01,2014-11-06,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15207132,indberetninger-20180424,2.5124211,70322315.0,,2018-03-31T21:54:17.708Z,2014-11-14T23:00:00.000Z,regnskab,0.0,,2014-05-31,2013-06-01,14-249.154,2014-11-14T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2013-06-01,2014-05-31,c4,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8vcGRmcy83MDMyMjMxNTtBcFM1NDU1MzsyMDEzMDYwMTsyMDE0MDUzMTtSO1I.pdf,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8veGJybHMvWC1EQjM2RDUxOS0yMDE0MTExNF8wODU3MDRfNDMz.xml,Danmark,DK,Kgs. Lyngby,2800.0,54A,Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Lyngby,"Lyngby Hovedgade 54A, 1. sal.",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2014-11-06,2014-10-31,,Statsautoriseret revisor,sg@cgs-dk.com,,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2012-06-01,2013-05-31,131200.0,,,2014-05-31,2013-06-01,2014-11-06,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15207132,indberetninger-20180424,2.5124211,70322315.0,,2018-03-31T21:54:17.708Z,2014-11-14T23:00:00.000Z,regnskab,0.0,,2014-05-31,2013-06-01,14-249.154,2014-11-14T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2013-06-01,2014-05-31,c6,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8vcGRmcy83MDMyMjMxNTtBcFM1NDU1MzsyMDEzMDYwMTsyMDE0MDUzMTtSO1I.pdf,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8veGJybHMvWC1EQjM2RDUxOS0yMDE0MTExNF8wODU3MDRfNDMz.xml,Danmark,DK,Kgs. Lyngby,2800.0,54A,Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Lyngby,"Lyngby Hovedgade 54A, 1. sal.",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2014-11-06,2014-10-31,,Statsautoriseret revisor,sg@cgs-dk.com,,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2012-06-01,2013-05-31,-591264.0,,,2014-05-31,2013-06-01,2014-11-06,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15207132,indberetninger-20180424,2.5124211,70322315.0,,2018-03-31T21:54:17.708Z,2014-11-14T23:00:00.000Z,regnskab,0.0,,2014-05-31,2013-06-01,14-249.154,2014-11-14T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322315,2014-05-31,2014-05-31,c8,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8vcGRmcy83MDMyMjMxNTtBcFM1NDU1MzsyMDEzMDYwMTsyMDE0MDUzMTtSO1I.pdf,http://regnskaber.virk.dk/51322307/Y3ZyLmRrOi8veGJybHMvWC1EQjM2RDUxOS0yMDE0MTExNF8wODU3MDRfNDMz.xml,Danmark,DK,Kgs. Lyngby,2800.0,54A,Lyngby Hovedgade,Kgs. Lyngby,2800.0,41.0,Gadevangen,2800 Lyngby,"Lyngby Hovedgade 54A, 1. sal.",Til kapitalejerne i C.G.S. Danmark ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2014-11-06,2014-10-31,,Statsautoriseret revisor,sg@cgs-dk.com,,,,33150482.0,70322315.0,1016290358.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Bo Andersen,SÃ¸ren Girbo-SÃ¸rensen,SÃ¸ren Girbo-SÃ¸rensen,C.G.S. DANMARK ApS,MBA Revision/Michael Bo Andersen,,,Lyngby,2012-06-01,2013-05-31,,,,2014-05-31,2013-06-01,2014-11-06,Kgs. Lyngby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15207132,indberetninger-20180424,2.5124211,70322315.0,,2018-03-31T21:54:17.708Z,2014-11-14T23:00:00.000Z,regnskab,0.0,,2014-05-31,2013-06-01,14-249.154,2014-11-14T23:00:00.000Z,6676174.0,1198782.0,200000.0,4634190.0,16812.0,6609017.0,0.0,37046.0,697020.0,6676174.0,67157.0,1344964.0,51000.0,37046.0,2041984.0,1293964.0,3313100.0,62097.0,52276.0,697020.0,131200.0,6277817.0,3313100.0,67157.0,85262.0,0.0,5060.0,16174.0,
