entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForDeferredTax,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendPaid,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NumberOfEmployees,OtherShorttermInvestments,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,NameOfAuditFirm,TypeOfAuditorAssistance,NameAndSurnameOfMemberOfSupervisoryBoard
73519128,2015-10-01,2016-09-30,c174,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2JlLzhkL2Q0LzE3YzItNGU3Ny05ODIzLTRhNjE2ODkxYWU3Zg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzhjLzdjLzA4L2VkNDEtNDQ2YS1hOGUzLTk0ZWQ0YzkzNDZhNA.xml,false,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,1244.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,149336.0,2017-12-12,1984-02-06,2017-12-12,Statsautoriseret revisor,-250000.0,-12525.0,20222670.0,73519128.0,20222670.0,mne23302,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,0.0,691344.0,Herning,2015-10-01,2016-09-30,528239.0,678819.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2017-12-12,Herning,150580.0,urn:ofk:oid:24866021,indberetninger-20180424,2.5118406,73519128.0,,2018-03-28T05:06:08.640Z,2017-12-20T09:06:43.123Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-46-LH,2017-12-20T09:06:43.269Z,,,,,,,,,,,,,,,,,,,
73519128,2015-10-01,2016-09-30,c177,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2JlLzhkL2Q0LzE3YzItNGU3Ny05ODIzLTRhNjE2ODkxYWU3Zg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzhjLzdjLzA4L2VkNDEtNDQ2YS1hOGUzLTk0ZWQ0YzkzNDZhNA.xml,false,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-12-12,1984-02-06,2017-12-12,Statsautoriseret revisor,-250000.0,,20222670.0,73519128.0,20222670.0,mne23302,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2015-10-01,2016-09-30,250000.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2017-12-12,Herning,,urn:ofk:oid:24866021,indberetninger-20180424,2.5118406,73519128.0,,2018-03-28T05:06:08.640Z,2017-12-20T09:06:43.123Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-46-LH,2017-12-20T09:06:43.269Z,,,,,,,,,,,,,,,,,,,
73519128,2015-10-01,2016-09-30,c195,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2JlLzhkL2Q0LzE3YzItNGU3Ny05ODIzLTRhNjE2ODkxYWU3Zg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzhjLzdjLzA4L2VkNDEtNDQ2YS1hOGUzLTk0ZWQ0YzkzNDZhNA.xml,false,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-12-12,1984-02-06,2017-12-12,Statsautoriseret revisor,-250000.0,,20222670.0,73519128.0,20222670.0,mne23302,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2015-10-01,2016-09-30,278239.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2017-12-12,Herning,,urn:ofk:oid:24866021,indberetninger-20180424,2.5118406,73519128.0,,2018-03-28T05:06:08.640Z,2017-12-20T09:06:43.123Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-46-LH,2017-12-20T09:06:43.269Z,,,,,,,,,,,,,,,,,,,
73519128,2016-09-30,2016-09-30,c172,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2JlLzhkL2Q0LzE3YzItNGU3Ny05ODIzLTRhNjE2ODkxYWU3Zg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzhjLzdjLzA4L2VkNDEtNDQ2YS1hOGUzLTk0ZWQ0YzkzNDZhNA.xml,false,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-12-12,1984-02-06,2017-12-12,Statsautoriseret revisor,-250000.0,,20222670.0,73519128.0,20222670.0,mne23302,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2015-10-01,2016-09-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2017-12-12,Herning,,urn:ofk:oid:24866021,indberetninger-20180424,2.5118406,73519128.0,,2018-03-28T05:06:08.640Z,2017-12-20T09:06:43.123Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-46-LH,2017-12-20T09:06:43.269Z,11930148.0,285867.0,500000.0,11853451.0,11930148.0,76697.0,1.0,10644281.0,1000000.0,250000.0,11103451.0,10644281.0,76697.0,1000000.0,59697.0,17000.0,,,
73519128,2016-10-01,2016-10-01,c226,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2JlLzhkL2Q0LzE3YzItNGU3Ny05ODIzLTRhNjE2ODkxYWU3Zg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzhjLzdjLzA4L2VkNDEtNDQ2YS1hOGUzLTk0ZWQ0YzkzNDZhNA.xml,false,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-12-12,1984-02-06,2017-12-12,Statsautoriseret revisor,-250000.0,,20222670.0,73519128.0,20222670.0,mne23302,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2015-10-01,2016-09-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2017-12-12,Herning,,urn:ofk:oid:24866021,indberetninger-20180424,2.5118406,73519128.0,,2018-03-28T05:06:08.640Z,2017-12-20T09:06:43.123Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-46-LH,2017-12-20T09:06:43.269Z,,,,500000.0,,,,,,,,,,,,,,,
73519128,2016-10-01,2016-10-01,c253,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2JlLzhkL2Q0LzE3YzItNGU3Ny05ODIzLTRhNjE2ODkxYWU3Zg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzhjLzdjLzA4L2VkNDEtNDQ2YS1hOGUzLTk0ZWQ0YzkzNDZhNA.xml,false,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-12-12,1984-02-06,2017-12-12,Statsautoriseret revisor,-250000.0,,20222670.0,73519128.0,20222670.0,mne23302,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2015-10-01,2016-09-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2017-12-12,Herning,,urn:ofk:oid:24866021,indberetninger-20180424,2.5118406,73519128.0,,2018-03-28T05:06:08.640Z,2017-12-20T09:06:43.123Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-46-LH,2017-12-20T09:06:43.269Z,,,,11103451.0,,,,,,,,,,,,,,,
73519128,2016-10-01,2016-10-01,c257,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2JlLzhkL2Q0LzE3YzItNGU3Ny05ODIzLTRhNjE2ODkxYWU3Zg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzhjLzdjLzA4L2VkNDEtNDQ2YS1hOGUzLTk0ZWQ0YzkzNDZhNA.xml,false,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-12-12,1984-02-06,2017-12-12,Statsautoriseret revisor,-250000.0,,20222670.0,73519128.0,20222670.0,mne23302,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2015-10-01,2016-09-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2017-12-12,Herning,,urn:ofk:oid:24866021,indberetninger-20180424,2.5118406,73519128.0,,2018-03-28T05:06:08.640Z,2017-12-20T09:06:43.123Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-46-LH,2017-12-20T09:06:43.269Z,,,,250000.0,,,,,,,,,,,,,,,
73519128,2016-10-01,2017-09-30,c173,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2JlLzhkL2Q0LzE3YzItNGU3Ny05ODIzLTRhNjE2ODkxYWU3Zg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzhjLzdjLzA4L2VkNDEtNDQ2YS1hOGUzLTk0ZWQ0YzkzNDZhNA.xml,false,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,2860.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,158202.0,2017-12-12,1984-02-06,2017-12-12,Statsautoriseret revisor,-250000.0,-17385.0,20222670.0,73519128.0,20222670.0,mne23302,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,16903.0,753443.0,Herning,2015-10-01,2016-09-30,558093.0,719155.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2017-12-12,Herning,161062.0,urn:ofk:oid:24866021,indberetninger-20180424,2.5118406,73519128.0,,2018-03-28T05:06:08.640Z,2017-12-20T09:06:43.123Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-46-LH,2017-12-20T09:06:43.269Z,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,Andre erklÃ¦ringer uden sikkerhed,
73519128,2016-10-01,2017-09-30,c176,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2JlLzhkL2Q0LzE3YzItNGU3Ny05ODIzLTRhNjE2ODkxYWU3Zg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzhjLzdjLzA4L2VkNDEtNDQ2YS1hOGUzLTk0ZWQ0YzkzNDZhNA.xml,false,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-12-12,1984-02-06,2017-12-12,Statsautoriseret revisor,-250000.0,,20222670.0,73519128.0,20222670.0,mne23302,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2015-10-01,2016-09-30,570000.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2017-12-12,Herning,,urn:ofk:oid:24866021,indberetninger-20180424,2.5118406,73519128.0,,2018-03-28T05:06:08.640Z,2017-12-20T09:06:43.123Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-46-LH,2017-12-20T09:06:43.269Z,,,,,,,,,,,,,,,,,,,
73519128,2016-10-01,2017-09-30,c194,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzLzdlL2JlLzhkL2Q0LzE3YzItNGU3Ny05ODIzLTRhNjE2ODkxYWU3Zg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzhjLzdjLzA4L2VkNDEtNDQ2YS1hOGUzLTk0ZWQ0YzkzNDZhNA.xml,false,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-12-12,1984-02-06,2017-12-12,Statsautoriseret revisor,-250000.0,,20222670.0,73519128.0,20222670.0,mne23302,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,,,Herning,2015-10-01,2016-09-30,-11907.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2017-09-30,2016-10-01,true,2017-12-12,Herning,,urn:ofk:oid:24866021,indberetninger-20180424,2.5118406,73519128.0,,2018-03-28T05:06:08.640Z,2017-12-20T09:06:43.123Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-46-LH,2017-12-20T09:06:43.269Z,,,,,,,,,,,,,,,,,,,
