entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,CostOfSales,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfContingentLiabilities,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,DescriptionOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
73531616,2013-05-01,2014-04-30,c5,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzLzgxL2M5L2U4Lzk5LzYxNWMtNDU0ZC1iMjZlLTdhMDhkZWI1NWJkMg.xhtml,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2IzL2Y5LzY3Lzg5ZWQtNDIzZC1iYWIwLWZmNDE3YWU1ZDUwNg.pdf,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzNkL2Y1LzNmLzFjNWItNGVhOC1hMWFhLWUwZGFhNzI3NzBjMg.xml,Danmark,DK,Ringsted,9.0,Jyllandsgade,Valby,2500.0,46.0,Danhaven,2670 Greve,Korskildeeng 5,Til den daglige ledelse i Arnoldi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,394468.0,2015-07-06,2015-09-21,-99346.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets samlede leasingforpligtelser indtil 30. april 2019 andrager kr. 1.763.000</p>",2975554.0,3204751.0,31824559.0,73531616.0,1014960550.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Birgitte Arnoldi,ARNOLDI ApS,DP Regnskab ApS,2786112.0,14501.0,0.0,KÃ¸benhavn,2013-05-01,2014-04-30,228970.0,314042.0,328543.0,2015-04-30,2014-05-01,6385331.0,2015-07-06,Ringsted,"Med henvisning til Ãrsregnskabslovens Â§10a, skal det oplyses, at generalforsamlingen fravÃ¦lger revision for det kommende regnskabsÃ¥r.",85072.0,36166046.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21458468,indberetninger-20180424,2.5926185,73531616.0,,2018-03-30T15:04:26.191Z,2015-09-25T11:31:42.736Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-37-PH,2015-09-25T11:31:42.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73531616,2013-05-01,2014-04-30,c7,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzLzgxL2M5L2U4Lzk5LzYxNWMtNDU0ZC1iMjZlLTdhMDhkZWI1NWJkMg.xhtml,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2IzL2Y5LzY3Lzg5ZWQtNDIzZC1iYWIwLWZmNDE3YWU1ZDUwNg.pdf,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzNkL2Y1LzNmLzFjNWItNGVhOC1hMWFhLWUwZGFhNzI3NzBjMg.xml,Danmark,DK,Ringsted,9.0,Jyllandsgade,Valby,2500.0,46.0,Danhaven,2670 Greve,Korskildeeng 5,Til den daglige ledelse i Arnoldi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,,2015-07-06,2015-09-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets samlede leasingforpligtelser indtil 30. april 2019 andrager kr. 1.763.000</p>",,,31824559.0,73531616.0,1014960550.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Birgitte Arnoldi,ARNOLDI ApS,DP Regnskab ApS,,,,KÃ¸benhavn,2013-05-01,2014-04-30,96600.0,,,2015-04-30,2014-05-01,,2015-07-06,Ringsted,"Med henvisning til Ãrsregnskabslovens Â§10a, skal det oplyses, at generalforsamlingen fravÃ¦lger revision for det kommende regnskabsÃ¥r.",,36166046.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21458468,indberetninger-20180424,2.5926185,73531616.0,,2018-03-30T15:04:26.191Z,2015-09-25T11:31:42.736Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-37-PH,2015-09-25T11:31:42.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73531616,2013-05-01,2014-04-30,c9,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzLzgxL2M5L2U4Lzk5LzYxNWMtNDU0ZC1iMjZlLTdhMDhkZWI1NWJkMg.xhtml,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2IzL2Y5LzY3Lzg5ZWQtNDIzZC1iYWIwLWZmNDE3YWU1ZDUwNg.pdf,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzNkL2Y1LzNmLzFjNWItNGVhOC1hMWFhLWUwZGFhNzI3NzBjMg.xml,Danmark,DK,Ringsted,9.0,Jyllandsgade,Valby,2500.0,46.0,Danhaven,2670 Greve,Korskildeeng 5,Til den daglige ledelse i Arnoldi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,,2015-07-06,2015-09-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets samlede leasingforpligtelser indtil 30. april 2019 andrager kr. 1.763.000</p>",,,31824559.0,73531616.0,1014960550.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Birgitte Arnoldi,ARNOLDI ApS,DP Regnskab ApS,,,,KÃ¸benhavn,2013-05-01,2014-04-30,132370.0,,,2015-04-30,2014-05-01,,2015-07-06,Ringsted,"Med henvisning til Ãrsregnskabslovens Â§10a, skal det oplyses, at generalforsamlingen fravÃ¦lger revision for det kommende regnskabsÃ¥r.",,36166046.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21458468,indberetninger-20180424,2.5926185,73531616.0,,2018-03-30T15:04:26.191Z,2015-09-25T11:31:42.736Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-37-PH,2015-09-25T11:31:42.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73531616,2014-04-30,2014-04-30,c11,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzLzgxL2M5L2U4Lzk5LzYxNWMtNDU0ZC1iMjZlLTdhMDhkZWI1NWJkMg.xhtml,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2IzL2Y5LzY3Lzg5ZWQtNDIzZC1iYWIwLWZmNDE3YWU1ZDUwNg.pdf,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzNkL2Y1LzNmLzFjNWItNGVhOC1hMWFhLWUwZGFhNzI3NzBjMg.xml,Danmark,DK,Ringsted,9.0,Jyllandsgade,Valby,2500.0,46.0,Danhaven,2670 Greve,Korskildeeng 5,Til den daglige ledelse i Arnoldi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,,2015-07-06,2015-09-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets samlede leasingforpligtelser indtil 30. april 2019 andrager kr. 1.763.000</p>",,,31824559.0,73531616.0,1014960550.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Birgitte Arnoldi,ARNOLDI ApS,DP Regnskab ApS,,,,KÃ¸benhavn,2013-05-01,2014-04-30,,,,2015-04-30,2014-05-01,,2015-07-06,Ringsted,"Med henvisning til Ãrsregnskabslovens Â§10a, skal det oplyses, at generalforsamlingen fravÃ¦lger revision for det kommende regnskabsÃ¥r.",,36166046.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21458468,indberetninger-20180424,2.5926185,73531616.0,,2018-03-30T15:04:26.191Z,2015-09-25T11:31:42.736Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-37-PH,2015-09-25T11:31:42.882Z,1723624.0,1670.0,200000.0,1622374.0,9085.0,532651.0,101250.0,1723624.0,1190973.0,80366.0,80366.0,101250.0,671067.0,294526.0,101250.0,96600.0,0.0,0.0,236051.0,220673.0,1110607.0,1620704.0,26105.0,192762.0,1317093.0,,,,
73531616,2014-05-01,2015-04-30,c0,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzLzgxL2M5L2U4Lzk5LzYxNWMtNDU0ZC1iMjZlLTdhMDhkZWI1NWJkMg.xhtml,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2IzL2Y5LzY3Lzg5ZWQtNDIzZC1iYWIwLWZmNDE3YWU1ZDUwNg.pdf,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzNkL2Y1LzNmLzFjNWItNGVhOC1hMWFhLWUwZGFhNzI3NzBjMg.xml,Danmark,DK,Ringsted,9.0,Jyllandsgade,Valby,2500.0,46.0,Danhaven,2670 Greve,Korskildeeng 5,Til den daglige ledelse i Arnoldi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,231144.0,2015-07-06,2015-09-21,-37189.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets samlede leasingforpligtelser indtil 30. april 2019 andrager kr. 1.763.000</p>",3436761.0,4066792.0,31824559.0,73531616.0,1014960550.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Birgitte Arnoldi,ARNOLDI ApS,DP Regnskab ApS,2781463.0,9279.0,0.0,KÃ¸benhavn,2013-05-01,2014-04-30,508623.0,657941.0,667220.0,2015-04-30,2014-05-01,7079399.0,2015-07-06,Ringsted,"Med henvisning til Ãrsregnskabslovens Â§10a, skal det oplyses, at generalforsamlingen fravÃ¦lger revision for det kommende regnskabsÃ¥r.",149318.0,36166046.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21458468,indberetninger-20180424,2.5926185,73531616.0,,2018-03-30T15:04:26.191Z,2015-09-25T11:31:42.736Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-37-PH,2015-09-25T11:31:42.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73531616,2014-05-01,2015-04-30,c1,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzLzgxL2M5L2U4Lzk5LzYxNWMtNDU0ZC1iMjZlLTdhMDhkZWI1NWJkMg.xhtml,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2IzL2Y5LzY3Lzg5ZWQtNDIzZC1iYWIwLWZmNDE3YWU1ZDUwNg.pdf,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzNkL2Y1LzNmLzFjNWItNGVhOC1hMWFhLWUwZGFhNzI3NzBjMg.xml,Danmark,DK,Ringsted,9.0,Jyllandsgade,Valby,2500.0,46.0,Danhaven,2670 Greve,Korskildeeng 5,Til den daglige ledelse i Arnoldi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,,2015-07-06,2015-09-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets samlede leasingforpligtelser indtil 30. april 2019 andrager kr. 1.763.000</p>",,,31824559.0,73531616.0,1014960550.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Birgitte Arnoldi,ARNOLDI ApS,DP Regnskab ApS,,,,KÃ¸benhavn,2013-05-01,2014-04-30,,,,2015-04-30,2014-05-01,,2015-07-06,Ringsted,"Med henvisning til Ãrsregnskabslovens Â§10a, skal det oplyses, at generalforsamlingen fravÃ¦lger revision for det kommende regnskabsÃ¥r.",,36166046.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21458468,indberetninger-20180424,2.5926185,73531616.0,,2018-03-30T15:04:26.191Z,2015-09-25T11:31:42.736Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-37-PH,2015-09-25T11:31:42.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,statsautoriseret revisor,Dennis Cronbach,"SÃ¸nderup I/S, statsautoriserede revisorer",
73531616,2014-05-01,2015-04-30,c2,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzLzgxL2M5L2U4Lzk5LzYxNWMtNDU0ZC1iMjZlLTdhMDhkZWI1NWJkMg.xhtml,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2IzL2Y5LzY3Lzg5ZWQtNDIzZC1iYWIwLWZmNDE3YWU1ZDUwNg.pdf,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzNkL2Y1LzNmLzFjNWItNGVhOC1hMWFhLWUwZGFhNzI3NzBjMg.xml,Danmark,DK,Ringsted,9.0,Jyllandsgade,Valby,2500.0,46.0,Danhaven,2670 Greve,Korskildeeng 5,Til den daglige ledelse i Arnoldi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,,2015-07-06,2015-09-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets samlede leasingforpligtelser indtil 30. april 2019 andrager kr. 1.763.000</p>",,,31824559.0,73531616.0,1014960550.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Birgitte Arnoldi,ARNOLDI ApS,DP Regnskab ApS,,,,KÃ¸benhavn,2013-05-01,2014-04-30,,,,2015-04-30,2014-05-01,,2015-07-06,Ringsted,"Med henvisning til Ãrsregnskabslovens Â§10a, skal det oplyses, at generalforsamlingen fravÃ¦lger revision for det kommende regnskabsÃ¥r.",,36166046.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21458468,indberetninger-20180424,2.5926185,73531616.0,,2018-03-30T15:04:26.191Z,2015-09-25T11:31:42.736Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-37-PH,2015-09-25T11:31:42.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birgitte Arnoldi
73531616,2014-05-01,2015-04-30,c3,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzLzgxL2M5L2U4Lzk5LzYxNWMtNDU0ZC1iMjZlLTdhMDhkZWI1NWJkMg.xhtml,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2IzL2Y5LzY3Lzg5ZWQtNDIzZC1iYWIwLWZmNDE3YWU1ZDUwNg.pdf,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzNkL2Y1LzNmLzFjNWItNGVhOC1hMWFhLWUwZGFhNzI3NzBjMg.xml,Danmark,DK,Ringsted,9.0,Jyllandsgade,Valby,2500.0,46.0,Danhaven,2670 Greve,Korskildeeng 5,Til den daglige ledelse i Arnoldi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,,2015-07-06,2015-09-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets samlede leasingforpligtelser indtil 30. april 2019 andrager kr. 1.763.000</p>",,,31824559.0,73531616.0,1014960550.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Birgitte Arnoldi,ARNOLDI ApS,DP Regnskab ApS,,,,KÃ¸benhavn,2013-05-01,2014-04-30,,,,2015-04-30,2014-05-01,,2015-07-06,Ringsted,"Med henvisning til Ãrsregnskabslovens Â§10a, skal det oplyses, at generalforsamlingen fravÃ¦lger revision for det kommende regnskabsÃ¥r.",,36166046.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21458468,indberetninger-20180424,2.5926185,73531616.0,,2018-03-30T15:04:26.191Z,2015-09-25T11:31:42.736Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-37-PH,2015-09-25T11:31:42.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Henrik Arnoldi
73531616,2014-05-01,2015-04-30,c4,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzLzgxL2M5L2U4Lzk5LzYxNWMtNDU0ZC1iMjZlLTdhMDhkZWI1NWJkMg.xhtml,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2IzL2Y5LzY3Lzg5ZWQtNDIzZC1iYWIwLWZmNDE3YWU1ZDUwNg.pdf,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzNkL2Y1LzNmLzFjNWItNGVhOC1hMWFhLWUwZGFhNzI3NzBjMg.xml,Danmark,DK,Ringsted,9.0,Jyllandsgade,Valby,2500.0,46.0,Danhaven,2670 Greve,Korskildeeng 5,Til den daglige ledelse i Arnoldi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,,2015-07-06,2015-09-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets samlede leasingforpligtelser indtil 30. april 2019 andrager kr. 1.763.000</p>",,,31824559.0,73531616.0,1014960550.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Birgitte Arnoldi,ARNOLDI ApS,DP Regnskab ApS,,,,KÃ¸benhavn,2013-05-01,2014-04-30,,,,2015-04-30,2014-05-01,,2015-07-06,Ringsted,"Med henvisning til Ãrsregnskabslovens Â§10a, skal det oplyses, at generalforsamlingen fravÃ¦lger revision for det kommende regnskabsÃ¥r.",,36166046.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21458468,indberetninger-20180424,2.5926185,73531616.0,,2018-03-30T15:04:26.191Z,2015-09-25T11:31:42.736Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-37-PH,2015-09-25T11:31:42.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,statsautoriseret revisor,Per Krogh Rants,"SÃ¸nderup I/S, statsautoriserede revisorer",
73531616,2014-05-01,2015-04-30,c6,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzLzgxL2M5L2U4Lzk5LzYxNWMtNDU0ZC1iMjZlLTdhMDhkZWI1NWJkMg.xhtml,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2IzL2Y5LzY3Lzg5ZWQtNDIzZC1iYWIwLWZmNDE3YWU1ZDUwNg.pdf,http://regnskaber.virk.dk/61613537/ZG9rdW1lbnRsYWdlcjovLzAzL2JjLzNkL2Y1LzNmLzFjNWItNGVhOC1hMWFhLWUwZGFhNzI3NzBjMg.xml,Danmark,DK,Ringsted,9.0,Jyllandsgade,Valby,2500.0,46.0,Danhaven,2670 Greve,Korskildeeng 5,Til den daglige ledelse i Arnoldi ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,,2015-07-06,2015-09-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets samlede leasingforpligtelser indtil 30. april 2019 andrager kr. 1.763.000</p>",,,31824559.0,73531616.0,1014960550.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Birgitte Arnoldi,ARNOLDI ApS,DP Regnskab ApS,,,,KÃ¸benhavn,2013-05-01,2014-04-30,199800.0,,,2015-04-30,2014-05-01,,2015-07-06,Ringsted,"Med henvisning til Ãrsregnskabslovens Â§10a, skal det oplyses, at generalforsamlingen fravÃ¦lger revision for det kommende regnskabsÃ¥r.",,36166046.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21458468,indberetninger-20180424,2.5926185,73531616.0,,2018-03-30T15:04:26.191Z,2015-09-25T11:31:42.736Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AG-37-PH,2015-09-25T11:31:42.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
