entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ContractWorkInProgress,DateOfGeneralMeeting,FixturesFittingsToolsAndEquipment,Goodwill,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,IntangibleAssets,LandAndBuildings,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,NoncurrentAssets,NumberOfEmployees,OtherLongtermInvestments,OtherShorttermInvestments,PlantAndMachinery,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,PropertyPlantAndEquipment,ProposedDividend,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermDebtToBanks,ShorttermInvestments,ShorttermMortgageDebt,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdministrativeExpenses,AverageNumberOfEmployees,ChangeInInventoriesOfFinishedGoodsWorkInProgressAndGoodsForResale,CostOfSales,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,PropertyCost,Revenue,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherReserves,OtherShorttermPayables,OtherShorttermReceivables,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard
83321113,2015-05-01,2015-05-01,c11,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzlhLzVjL2JiLzY4NDYtNDQyNy04NDE1LWQ1NjFlNzkwOTQ3NA.xhtml,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzVlLzM1L2JlLzAxLzg5ZDYtNGI1ZC05MGM4LTI1ZjM3MWQ3MDY5NQ.pdf,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzL2YzLzE1Lzg2LzI4LzZjMDctNDU0ZS04NDI3LTIzYmYxNjJlOGZiYg.xml,true,Danmark,DK,farum,3520.0,37.0,farum hovedgade,Farum,3520.0,"13, 1",Akacietorvet,3520 farum,"akacietorvet 13,1",Regnskabsklasse B,0.0,2017-06-01,0.0,0.0,83321113.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ole stevnbak andersen,handelsbanken,HBO INSTRUMENTS ApS,ole stevnbak andersen,0.0,2.0,0.0,0.0,0.0,2015-05-01,2016-04-30,0.0,0.0,0.0,0.0,0.0,2017-04-30,2016-05-01,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revision fravÃ¦lges,false,false,Ingen bistand,urn:ofk:oid:24124108,indberetninger-20180424,2.5927877,83321113.0,,2018-03-29T03:12:36.736Z,2017-06-07T07:01:32.803Z,regnskab,0.0,,2017-04-30,2016-05-01,X17-AK-78-GR,2017-06-07T07:01:33.030Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83321113,2015-05-01,2016-04-30,c5,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzlhLzVjL2JiLzY4NDYtNDQyNy04NDE1LWQ1NjFlNzkwOTQ3NA.xhtml,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzVlLzM1L2JlLzAxLzg5ZDYtNGI1ZC05MGM4LTI1ZjM3MWQ3MDY5NQ.pdf,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzL2YzLzE1Lzg2LzI4LzZjMDctNDU0ZS04NDI3LTIzYmYxNjJlOGZiYg.xml,true,Danmark,DK,farum,3520.0,37.0,farum hovedgade,Farum,3520.0,"13, 1",Akacietorvet,3520 farum,"akacietorvet 13,1",Regnskabsklasse B,0.0,2017-06-01,0.0,0.0,83321113.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ole stevnbak andersen,handelsbanken,HBO INSTRUMENTS ApS,ole stevnbak andersen,0.0,,0.0,0.0,0.0,2015-05-01,2016-04-30,0.0,0.0,0.0,0.0,0.0,2017-04-30,2016-05-01,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revision fravÃ¦lges,false,false,Ingen bistand,urn:ofk:oid:24124108,indberetninger-20180424,2.5927877,83321113.0,,2018-03-29T03:12:36.736Z,2017-06-07T07:01:32.803Z,regnskab,0.0,,2017-04-30,2016-05-01,X17-AK-78-GR,2017-06-07T07:01:33.030Z,27487.0,2.0,-4944.0,212061.0,0.0,183516.0,150087.0,-33429.0,-33429.0,-33429.0,88376.0,482955.0,0.0,,,,,,,,,,,,,,,,,,,,
83321113,2015-05-01,2016-04-30,c7,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzlhLzVjL2JiLzY4NDYtNDQyNy04NDE1LWQ1NjFlNzkwOTQ3NA.xhtml,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzVlLzM1L2JlLzAxLzg5ZDYtNGI1ZC05MGM4LTI1ZjM3MWQ3MDY5NQ.pdf,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzL2YzLzE1Lzg2LzI4LzZjMDctNDU0ZS04NDI3LTIzYmYxNjJlOGZiYg.xml,true,Danmark,DK,farum,3520.0,37.0,farum hovedgade,Farum,3520.0,"13, 1",Akacietorvet,3520 farum,"akacietorvet 13,1",Regnskabsklasse B,0.0,2017-06-01,0.0,0.0,83321113.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ole stevnbak andersen,handelsbanken,HBO INSTRUMENTS ApS,ole stevnbak andersen,0.0,,0.0,0.0,0.0,2015-05-01,2016-04-30,0.0,0.0,0.0,0.0,0.0,2017-04-30,2016-05-01,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revision fravÃ¦lges,false,false,Ingen bistand,urn:ofk:oid:24124108,indberetninger-20180424,2.5927877,83321113.0,,2018-03-29T03:12:36.736Z,2017-06-07T07:01:32.803Z,regnskab,0.0,,2017-04-30,2016-05-01,X17-AK-78-GR,2017-06-07T07:01:33.030Z,,,,,,,,-33429.0,,,,,,,,,,,,,,,,,,,,,,,,,
83321113,2016-04-30,2016-04-30,c9,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzlhLzVjL2JiLzY4NDYtNDQyNy04NDE1LWQ1NjFlNzkwOTQ3NA.xhtml,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzVlLzM1L2JlLzAxLzg5ZDYtNGI1ZC05MGM4LTI1ZjM3MWQ3MDY5NQ.pdf,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzL2YzLzE1Lzg2LzI4LzZjMDctNDU0ZS04NDI3LTIzYmYxNjJlOGZiYg.xml,true,Danmark,DK,farum,3520.0,37.0,farum hovedgade,Farum,3520.0,"13, 1",Akacietorvet,3520 farum,"akacietorvet 13,1",Regnskabsklasse B,0.0,2017-06-01,0.0,0.0,83321113.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ole stevnbak andersen,handelsbanken,HBO INSTRUMENTS ApS,ole stevnbak andersen,0.0,2.0,0.0,0.0,0.0,2015-05-01,2016-04-30,0.0,0.0,0.0,0.0,0.0,2017-04-30,2016-05-01,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revision fravÃ¦lges,false,false,Ingen bistand,urn:ofk:oid:24124108,indberetninger-20180424,2.5927877,83321113.0,,2018-03-29T03:12:36.736Z,2017-06-07T07:01:32.803Z,regnskab,0.0,,2017-04-30,2016-05-01,X17-AK-78-GR,2017-06-07T07:01:33.030Z,,,,,,,,,,,,,,233055.0,7062.0,200000.0,233055.0,146166.0,108472.0,233055.0,86889.0,0.0,60467.0,15331.0,108472.0,-53834.0,86889.0,117521.0,26422.0,102190.0,,,
83321113,2016-05-01,2016-05-01,c10,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzlhLzVjL2JiLzY4NDYtNDQyNy04NDE1LWQ1NjFlNzkwOTQ3NA.xhtml,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzVlLzM1L2JlLzAxLzg5ZDYtNGI1ZC05MGM4LTI1ZjM3MWQ3MDY5NQ.pdf,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzL2YzLzE1Lzg2LzI4LzZjMDctNDU0ZS04NDI3LTIzYmYxNjJlOGZiYg.xml,true,Danmark,DK,farum,3520.0,37.0,farum hovedgade,Farum,3520.0,"13, 1",Akacietorvet,3520 farum,"akacietorvet 13,1",Regnskabsklasse B,0.0,2017-06-01,0.0,0.0,83321113.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ole stevnbak andersen,handelsbanken,HBO INSTRUMENTS ApS,ole stevnbak andersen,0.0,2.0,0.0,0.0,0.0,2015-05-01,2016-04-30,0.0,0.0,0.0,0.0,0.0,2017-04-30,2016-05-01,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revision fravÃ¦lges,false,false,Ingen bistand,urn:ofk:oid:24124108,indberetninger-20180424,2.5927877,83321113.0,,2018-03-29T03:12:36.736Z,2017-06-07T07:01:32.803Z,regnskab,0.0,,2017-04-30,2016-05-01,X17-AK-78-GR,2017-06-07T07:01:33.030Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83321113,2016-05-01,2017-04-30,c0,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzlhLzVjL2JiLzY4NDYtNDQyNy04NDE1LWQ1NjFlNzkwOTQ3NA.xhtml,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzVlLzM1L2JlLzAxLzg5ZDYtNGI1ZC05MGM4LTI1ZjM3MWQ3MDY5NQ.pdf,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzL2YzLzE1Lzg2LzI4LzZjMDctNDU0ZS04NDI3LTIzYmYxNjJlOGZiYg.xml,true,Danmark,DK,farum,3520.0,37.0,farum hovedgade,Farum,3520.0,"13, 1",Akacietorvet,3520 farum,"akacietorvet 13,1",Regnskabsklasse B,0.0,2017-06-01,0.0,0.0,83321113.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ole stevnbak andersen,handelsbanken,HBO INSTRUMENTS ApS,ole stevnbak andersen,0.0,,0.0,0.0,0.0,2015-05-01,2016-04-30,0.0,0.0,0.0,0.0,0.0,2017-04-30,2016-05-01,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revision fravÃ¦lges,false,false,Ingen bistand,urn:ofk:oid:24124108,indberetninger-20180424,2.5927877,83321113.0,,2018-03-29T03:12:36.736Z,2017-06-07T07:01:32.803Z,regnskab,0.0,,2017-04-30,2016-05-01,X17-AK-78-GR,2017-06-07T07:01:33.030Z,37516.0,2.0,-5553.0,205638.0,0.0,140000.0,150057.0,10057.0,10057.0,10057.0,88144.0,486908.0,0.0,,,,,,,,,,,,,,,,,,,,
83321113,2016-05-01,2017-04-30,c1,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzlhLzVjL2JiLzY4NDYtNDQyNy04NDE1LWQ1NjFlNzkwOTQ3NA.xhtml,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzVlLzM1L2JlLzAxLzg5ZDYtNGI1ZC05MGM4LTI1ZjM3MWQ3MDY5NQ.pdf,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzL2YzLzE1Lzg2LzI4LzZjMDctNDU0ZS04NDI3LTIzYmYxNjJlOGZiYg.xml,true,Danmark,DK,farum,3520.0,37.0,farum hovedgade,Farum,3520.0,"13, 1",Akacietorvet,3520 farum,"akacietorvet 13,1",Regnskabsklasse B,0.0,2017-06-01,0.0,0.0,83321113.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ole stevnbak andersen,handelsbanken,HBO INSTRUMENTS ApS,ole stevnbak andersen,0.0,,0.0,0.0,0.0,2015-05-01,2016-04-30,0.0,0.0,0.0,0.0,0.0,2017-04-30,2016-05-01,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revision fravÃ¦lges,false,false,Ingen bistand,urn:ofk:oid:24124108,indberetninger-20180424,2.5927877,83321113.0,,2018-03-29T03:12:36.736Z,2017-06-07T07:01:32.803Z,regnskab,0.0,,2017-04-30,2016-05-01,X17-AK-78-GR,2017-06-07T07:01:33.030Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Stevnbak Andersen,adm.direktÃ¸r,
83321113,2016-05-01,2017-04-30,c2,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzlhLzVjL2JiLzY4NDYtNDQyNy04NDE1LWQ1NjFlNzkwOTQ3NA.xhtml,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzVlLzM1L2JlLzAxLzg5ZDYtNGI1ZC05MGM4LTI1ZjM3MWQ3MDY5NQ.pdf,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzL2YzLzE1Lzg2LzI4LzZjMDctNDU0ZS04NDI3LTIzYmYxNjJlOGZiYg.xml,true,Danmark,DK,farum,3520.0,37.0,farum hovedgade,Farum,3520.0,"13, 1",Akacietorvet,3520 farum,"akacietorvet 13,1",Regnskabsklasse B,0.0,2017-06-01,0.0,0.0,83321113.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ole stevnbak andersen,handelsbanken,HBO INSTRUMENTS ApS,ole stevnbak andersen,0.0,,0.0,0.0,0.0,2015-05-01,2016-04-30,0.0,0.0,0.0,0.0,0.0,2017-04-30,2016-05-01,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revision fravÃ¦lges,false,false,Ingen bistand,urn:ofk:oid:24124108,indberetninger-20180424,2.5927877,83321113.0,,2018-03-29T03:12:36.736Z,2017-06-07T07:01:32.803Z,regnskab,0.0,,2017-04-30,2016-05-01,X17-AK-78-GR,2017-06-07T07:01:33.030Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SÃ¸ren Stevnbak Andersen,adm.direktÃ¸r,
83321113,2016-05-01,2017-04-30,c3,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzlhLzVjL2JiLzY4NDYtNDQyNy04NDE1LWQ1NjFlNzkwOTQ3NA.xhtml,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzVlLzM1L2JlLzAxLzg5ZDYtNGI1ZC05MGM4LTI1ZjM3MWQ3MDY5NQ.pdf,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzL2YzLzE1Lzg2LzI4LzZjMDctNDU0ZS04NDI3LTIzYmYxNjJlOGZiYg.xml,true,Danmark,DK,farum,3520.0,37.0,farum hovedgade,Farum,3520.0,"13, 1",Akacietorvet,3520 farum,"akacietorvet 13,1",Regnskabsklasse B,0.0,2017-06-01,0.0,0.0,83321113.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ole stevnbak andersen,handelsbanken,HBO INSTRUMENTS ApS,ole stevnbak andersen,0.0,,0.0,0.0,0.0,2015-05-01,2016-04-30,0.0,0.0,0.0,0.0,0.0,2017-04-30,2016-05-01,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revision fravÃ¦lges,false,false,Ingen bistand,urn:ofk:oid:24124108,indberetninger-20180424,2.5927877,83321113.0,,2018-03-29T03:12:36.736Z,2017-06-07T07:01:32.803Z,regnskab,0.0,,2017-04-30,2016-05-01,X17-AK-78-GR,2017-06-07T07:01:33.030Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ole stevnbak andersen
83321113,2016-05-01,2017-04-30,c4,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzlhLzVjL2JiLzY4NDYtNDQyNy04NDE1LWQ1NjFlNzkwOTQ3NA.xhtml,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzLzVlLzM1L2JlLzAxLzg5ZDYtNGI1ZC05MGM4LTI1ZjM3MWQ3MDY5NQ.pdf,http://regnskaber.virk.dk/31112338/ZG9rdW1lbnRsYWdlcjovLzAzL2YzLzE1Lzg2LzI4LzZjMDctNDU0ZS04NDI3LTIzYmYxNjJlOGZiYg.xml,true,Danmark,DK,farum,3520.0,37.0,farum hovedgade,Farum,3520.0,"13, 1",Akacietorvet,3520 farum,"akacietorvet 13,1",Regnskabsklasse B,0.0,2017-06-01,0.0,0.0,83321113.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ole stevnbak andersen,handelsbanken,HBO INSTRUMENTS ApS,ole stevnbak andersen,0.0,,0.0,0.0,0.0,2015-05-01,2016-04-30,0.0,0.0,0.0,0.0,0.0,2017-04-30,2016-05-01,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,revision fravÃ¦lges,false,false,Ingen bistand,urn:ofk:oid:24124108,indberetninger-20180424,2.5927877,83321113.0,,2018-03-29T03:12:36.736Z,2017-06-07T07:01:32.803Z,regnskab,0.0,,2017-04-30,2016-05-01,X17-AK-78-GR,2017-06-07T07:01:33.030Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sÃ¸ren stevnbak andersen
