cvr,dates 
28119690,20120626
30737547,20120626
13440638,20120626
14986219,20120626
33241658,20120626
28107196,20120626
29245924,20120626
33396414,20120626
10148367,20120626
30615360,20120626
29692912,20120626
29851131,20120626
20991801,20120626
32786960,20120626
28860676,20120626
30360338,20120626
33760922,20120626
32446310,20120626
27368069,20120626
27528988,20120626
29929157,20120626
31251605,20120626
34091587,20120626
26802822,20120626
24203166,20120626
29770743,20120626
10609534,20120626
28128673,20120626
32300383,20120626
28685785,20120626
31156416,20120626
33361912,20120626
11661084,20120626
32559425,20120626
15636904,20120626
29395519,20120626
29415412,20120626
25637445,20120626
33259840,20120626
31300843,20120626
12672594,20120626
30555708,20120626
28318278,20120626
28318707,20120626
28971966,20120626
30737644,20120626
32140440,20120626
32453147,20120626
28692889,20120626
33372205,20120626
27510981,20120626
26006147,20120626
26032245,20120626
33241100,20120626
29799202,20120626
33355874,20120626
21032794,20120626
32559344,20120626
37422215,20120626
33246196,20120626
28123191,20120626
29131163,20120626
12141890,20120626
31425336,20120626
26932459,20120626
32779794,20120626
29170290,20120626
20988894,20120626
29934436,20120626
29976791,20120626
12630670,20120626
26942276,20120626
32057128,20120626
32559395,20120626
32329683,20120626
29851166,20120626
21084174,20120626
29799016,20120626
30615476,20120626
59460412,20120626
32656986,20120626
19682781,20120626
76828717,20120626
10134498,20120626
33510217,20120626
79471917,20120626
31063302,20120626
32148522,20120626
30830210,20120626
26784565,20120626
14792899,20120626
30525191,20120626
17282476,20120626
32446353,20120626
31786843,20120626
10159164,20120626
30525159,20120626
33241623,20120626
30528808,20120626
63715018,20120626
16922870,20120626
17032445,20120626
30918983,20120626
29821038,20120626
32940994,20120626
28128665,20120626
33372825,20120626
29799148,20120626
31086884,20120626
28507933,20120626
25516346,20120626
28967470,20120626
31859123,20120626
32098479,20120626
28511574,20120626
30615336,20120626
27234704,20120626
28288174,20120626
31362040,20120627
29528209,20120627
27443796,20120627
31579996,20120627
30610571,20120627
26114756,20120627
21180238,20120627
33164491,20120627
84488712,20120627
31175801,20120627
17021974,20120627
33243480,20120627
28279728,20120627
35617914,20120627
31942438,20120627
26485215,20120627
33073372,20120627
27492940,20120627
30908449,20120627
30543459,20120627
31427568,20120627
30543629,20120627
31778670,20120627
32291244,20120627
32477097,20120627
32881041,20120627
30555953,20120627
30903099,20120627
29202699,20120627
33783167,20120627
30807898,20120627
30823044,20120627
19400670,20120627
31769906,20120627
33254385,20120627
31934664,20120627
32749100,20120627
29770603,20120627
31603102,20120627
32290787,20120627
32565794,20120627
28856466,20120627
10281296,20120627
18479494,20120627
17703285,20120627
33582811,20120627
20001682,20120627
20742704,20120627
32094899,20120627
25947622,20120627
27556531,20120627
29413193,20120627
31430038,20120627
33600658,20120627
26458021,20120627
65969319,20120627
32555314,20120627
25780183,20120627
30549295,20120627
56160914,20120627
78865415,20120627
28887760,20120627
31753473,20120627
32550533,20120627
29773092,20120627
25206185,20120627
33382057,20120627
21500747,20120627
29807795,20120627
21111538,20120627
21827878,20120627
30807863,20120627
33239084,20120627
10626870,20120627
33395205,20120627
87891917,20120627
33044747,20120627
32892418,20120627
21239305,20120627
33509707,20120627
29012296,20120627
33576854,20120627
32555306,20120627
13607893,20120627
26131189,20120627
25713869,20120627
10499275,20120627
33756216,20120627
32565786,20120627
33149522,20120627
33362021,20120627
27238858,20120627
30903137,20120627
21421642,20120627
17898434,20120628
29773424,20120628
25573293,20120628
28967527,20120628
32361749,20120628
30503961,20120628
30565207,20120628
30552504,20120628
32935508,20120628
33379285,20120628
33376650,20120628
25000250,20120628
25785819,20120628
20763582,20120628
27441939,20120628
25392337,20120628
31934338,20120628
32650694,20120628
26928621,20120628
28131062,20120628
29314810,20120628
13689180,20120628
33150466,20120628
33597037,20120628
33053037,20120628
28848331,20120628
31278708,20120628
30487397,20120628
36356812,20120628
33355467,20120628
29774854,20120628
31467977,20120628
32290280,20120628
37016012,20120628
25760662,20120628
25573269,20120628
29133077,20120628
30730801,20120628
32894585,20120628
34085854,20120628
14224297,20120628
31489644,20120628
33046499,20120628
33752164,20120628
31621364,20120628
30723929,20120628
32276334,20120628
22501216,20120628
33253966,20120628
33351089,20120628
33162731,20120628
32653359,20120628
45657310,20120628
33383738,20120628
