Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
12,2010-07-01,0.0,0.0,1003143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2011-07-01,27392.0,0.0,-18662.0,0.0,0.0,0.0,0.0,3500000.0,0.0,0.0
13,2011-07-01,0.0,0.0,-18662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2012-07-01,1815120.0,0.0,1809388.0,0.0,0.0,0.0,0.0,3500000.0,0.0,0.0
14,2012-07-01,0.0,0.0,759872.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
14,2013-07-01,419992.0,0.0,1338761.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
15,2013-07-01,419992.0,0.0,1338761.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
15,2014-07-01,247342.0,0.0,1469538.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
16,2014-07-01,247342.0,0.0,1469538.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
16,2015-07-01,1418636.0,0.0,1546578.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
17,2015-07-01,1418636.0,0.0,1734989.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
17,2016-07-01,0.0,0.0,5998012.0,0.0,0.0,0.0,0.0,3500000.0,0.0,7400.0
18,2016-07-01,216729.0,0.0,5998012.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
18,2017-07-01,0.0,0.0,1144335.0,0.0,0.0,0.0,0.0,3500000.0,0.0,7400.0
19,2017-07-01,271822.0,0.0,1144335.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
19,2018-07-01,0.0,0.0,1491025.0,0.0,0.0,0.0,0.0,3500000.0,0.0,7400.0
