Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
14,2011-10-01,0.0,86898000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0
14,2012-10-01,0.0,86898000.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,4600.0
15,2012-10-01,0.0,87781000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0
15,2013-10-01,0.0,87781000.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,4600.0
16,2013-10-01,0.0,85737000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0
16,2014-10-01,0.0,85737000.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,4600.0
17,2014-10-01,0.0,87285000.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,4600.0
17,2015-10-01,0.0,87285000.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,4600.0
18,2015-10-01,0.0,67873000.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,4600.0
18,2016-10-01,0.0,69577000.0,0.0,0.0,0.0,118.0,0.0,500000.0,0.0,4600.0
19,2016-10-01,0.0,67569000.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,4600.0
19,2017-10-01,0.0,64359000.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,4600.0
19,2017-10-01,0.0,65980000.0,0.0,0.0,0.0,110.0,0.0,500000.0,0.0,4600.0
19,2018-10-01,0.0,65144000.0,0.0,0.0,0.0,110.0,0.0,500000.0,0.0,4600.0
